id,created_at,text
1247282016292425728,2020-04-06 21:56:20,My live COVID-19 Q&amp;A is starting soon—tune in on my Facebook page here: https://t.co/5Q4LaJeS9q
1247216084941451264,2020-04-06 17:34:21,No Montanan should have to choose between paying medical bills and putting food on the table for their families during a public health crisis. I fought to expand SNAP benefits to ensure no one in our state goes hungry as we combat this crisis. https://t.co/0DbYMHJcr9
1247190931138281472,2020-04-06 15:54:24,"This is an uncertain time for folks across our state, and I know Montanans have lots of questions. I’m holding another COVID-19 Facebook Live this afternoon to answer questions and address concerns. Submit your thoughts below. I'll see you this afternoon. https://t.co/dNXH90Br8O"
1247180133221490688,2020-04-06 15:11:29,I’m grateful every day to call the Treasure State home and to serve the folks that make Montana the Last Best Place. Happy #406day! https://t.co/Jkx3VIs81j
1246878971456823297,2020-04-05 19:14:47,"I know folks have a lot of questions during this uncertain time—and I'm here to help. I’m holding another Facebook Live Q&amp;A TOMORROW, April 6th at 4pm MT. Submit your questions here: https://t.co/dNXH90Br8O"
1246182242977812486,2020-04-03 21:06:14,"The #CARESAct spends trillions of taxpayer dollars—we've got to ensure that money is being spent responsibly. @SenatorRomney and I are calling on the Administration to ensure the watchdog overseeing pandemic recovery can make regular, independent reports to Congress. https://t.co/JhaFWim2Zj"
1246157250349023232,2020-04-03 19:26:55,"If you're having trouble navigating a government agency during this crisis or in search of further resources, visit my Coronavirus Resource page below or contact my office at 202-224-2644. Stay safe. We'll get through this. https://t.co/36wsHNEqn0"
1246157249418006528,2020-04-03 19:26:55,Thanks to everyone for joining this afternoon's Facebook Live Q&amp;A. Hearing feedback from folks on the ground is critical in combating this outbreak.
1246141711631421440,2020-04-03 18:25:10,"In a few moments, I'll be going LIVE on Facebook to take questions and hear feedback from Montanans impacted by the COVID-19 outbreak. Join me here:  https://t.co/FV9xXoP4bS"
1246091109891276802,2020-04-03 15:04:06,Submit questions here: https://t.co/Hh0nM11Sed
1246091109027192832,2020-04-03 15:04:06,"Whether you're a nurse on the front lines or a small business owner making tough calls, the COVID-19 outbreak is impacting Montanans across our state—and I want to hear from you. Join me this afternoon at 12:30pm MT as I take your questions and hear feedback live on Facebook."
1245876613532844033,2020-04-03 00:51:46,"In a few minutes, I'll be live on Montana PBS to discuss how we're fighting to keep Montanans secure during COVID-19 outbreak. Tune in here: https://t.co/YuXph6T60W"
1245828766355554314,2020-04-02 21:41:38,"During these uncertain times, remember that your mental health is just as important as your physical health. Montana is expanding mental health resources and increasing at-home access. Learn more here: https://t.co/rW5dNjIwYL"
1245783228490878977,2020-04-02 18:40:41,Montana teachers have always put their students first—and social distancing isn’t stopping them now. These educators are keeping our communities together and students engaged through the power of music. https://t.co/X1oACqMYfh
1245748849198665730,2020-04-02 16:24:05,"When the going gets tough, Montanans come together and get going. Proud to see these innovators take their Montana Masks global—providing cutting-edge technological support for the folks that need it. https://t.co/uH92CyLBUC"
1245727711399751683,2020-04-02 15:00:05,"The COVID-19 pandemic is affecting Montanans in ways big and small, and I want to hear from you. I’ll be taking your questions and hearing your feedback LIVE on Friday, April 3rd at 12:30pm MDT. Submit your questions here: https://t.co/ZFHjxbTitA"
1245410859100372994,2020-04-01 18:01:02,"It’s never been easier to fill out the Census—you can do so online, by phone, or by mail, and it only takes about ten minutes. #GetCounted today: https://t.co/3bLEaMNBuG"
1245365822006210560,2020-04-01 15:02:04,"For more information on how the Census serves Montana, visit https://t.co/I874F7CO80. #GetCounted"
1245365819313438721,2020-04-01 15:02:03,"Montanans have a lot to gain from the 2020 Census. Getting counted means more investments in our schools, hospitals, infrastructure and could even lead to another representative in Congress, bringing more MT common sense to Washington. Fill out your census today! #JustMakesCensus https://t.co/HkEA0pc8tc"
