id,created_at,text
1247289291379744769,2020-04-06 22:25:15,"This funding is a step in the right direction, and I won't stop fighting to make sure all of Indian Country gets what it needs to fight this devastating pandemic. https://t.co/TutQnaOFyt"
1247289290599563272,2020-04-06 22:25:15,"Proud to announce over $674,000 today in transportation grants to Tribes from the #CARESAct. Reliable transportation so families can get resources and care they need is critical, especially because transportation infrastructure in many Tribal communities is already inadequate."
1247271562992123904,2020-04-06 21:14:48,"This is a confusing, challenging time, and I'm committed to fighting for you &amp; keeping you informed. What questions do you have about our work on #COVID19?

Reply below or post your question with the hashtag #AskTomUdall &amp; I’ll answer in a video to be posted here later this week."
1247244512415580161,2020-04-06 19:27:19,"Let's ensure every New Mexican gets counted. You can fill it out today, by phone, mail, or online. And if you’ve already filled it out, take the time to ask your friends and family if they’ve done so! https://t.co/KNiMhceHS7"
1247244511304200193,2020-04-06 19:27:18,This @ABQJournal editorial raises important alarm: just a 1% undercount in the #2020Census could mean New Mexico loses about $1 billion in federal funds over the next 10 years. We simply can't let that happen. #CensusCounts https://t.co/vdsqI8HVOE
1247206317594378247,2020-04-06 16:55:32,I'll be joining Native America Calling @180099native at 11:00 a.m. MT / 1:00 p.m. ET to discuss the federal response to #COVID19 for Indian Country. Tune in: https://t.co/3zd9Q8stkP
1246192839215767554,2020-04-03 21:48:20,"We wrote to @Interior requesting they focus on #COVID19 response efforts— and pause unrelated policy actions.
 
Now is not the time to push through new rules when public input will clearly be severely limited. We’re in the midst of a crisis. https://t.co/tzOZtWFsic"
1246172642480214016,2020-04-03 20:28:05,"My friend @NNPrezNez is right: we cannot abandon Native communities. I fought hard to increase funding for Indian Country in the last #COVID19 relief bill, because the Trump admin. and GOP leadership tried to leave them out. But we still need to do more. https://t.co/o3NzvmvUkO"
1246158131190796288,2020-04-03 19:30:25,"40 out-of-state construction workers are being sent to tightly packed trailers and at two small hotels in Columbus, NM. This is an unnecessary risk that endangers a remote community with limited health care resources. @POTUS must halt construction immediately."
1246158130163191809,2020-04-03 19:30:25,"President Trump is ignoring public health—sending construction workers into small towns to build his wall. We need to do everything we can to contain #COVID19, and putting the health of our rural communities at risk for a political project is outrageous. https://t.co/mSua5DHRzl"
1246151614781587456,2020-04-03 19:04:31,"Everyone in NM who can should follow guidance to stay at home. But public transportation remains essential, because those who can’t telework— heroic health care workers and essential workers who are still being asked to go to work— need access to safe public transportation."
1246151613988864001,2020-04-03 19:04:31,"NM is getting $133 million in emergency transit grants, a first wave of funding from the #CARESAct #COVID19 relief bill. This will be a major help for state &amp; local gov'ts, who are being forced to choose between providing basic transportation services &amp; responding to this crisis."
1245791433233219596,2020-04-02 19:13:18,"We are asking @EPAAWheeler how @EPA is adjusting pollution enforcement in light of #COVID19.

We cannot allow EPA’s core functions—which are essential to protecting public health, clean air &amp; water—to fall by the wayside while we fight this crisis. The agency must be transparent. https://t.co/a9M1l3AYzj"
1245758550271504384,2020-04-02 17:02:38,"IMPORTANT: Social Security recipients do NOT need to take additional action to get cash assistance provided by the #CARESAct.

@IRSnews provided confusing guidance, but at our urging, they changed course and are going to send these payments automatically, as the bill requires. https://t.co/ZNukSd64ac"
1245747314544840705,2020-04-02 16:17:59,"We fought hard to get more funding for Indian Country in the #CARESAct, but the Trump administration needs to get those resources out the door as soon as possible. Indian Country cannot afford to wait."
1245747313429135371,2020-04-02 16:17:59,"Native communities are getting hit hard by #COVID19, and they need access to medical resources NOW. #CoronavirusIndianCountry https://t.co/gpkzO0NxS1"
