id,created_at,text
1247223676870840321,2020-04-06 18:04:31,We deserve to know the truth about China’s coverup.  China must be held accountable. https://t.co/jsg73F1EQk
1247184469645086720,2020-04-06 15:28:43,"This is commonsense.  Montanans don't need any more financial stress during these tough times, and I'm glad to see they'll be getting their money back from cancelled flights due to COVID-19. https://t.co/VN3KtKhyP4"
1247173320619032576,2020-04-06 14:44:25,"Happy #406Day.  Honored to call this incredible place home, to have raised my family here, and to represent the people of this great state every day. https://t.co/DzhczhZIk9"
1246519400359964678,2020-04-04 19:25:58,Grateful for the Montana bankers who rose to the challenge and issued hundreds of Paycheck Protection loans for our workers and small businesses despite last-minute guidance and technical challenges along the way. #MontanaProud #ThankYourBanker
1246476878707331073,2020-04-04 16:37:00,"Tanya’s story is exactly why I fought so hard for the Paycheck Protection Program, it’s allowing her to keep her coffee kiosks open and her employees paid. 
https://t.co/OTpfbsSib4"
1246443566223654912,2020-04-04 14:24:38,Getting ready to go live with @WakeUpMontana ! And brought Ruby- who is dying to be on TV! https://t.co/ykdgX4x6Mk
1246438094980685824,2020-04-04 14:02:54,I’ll be live at 8:30!  Tune in! https://t.co/1ahtCBmq19
1246253414100504577,2020-04-04 01:49:02,Supporting downtown Montana businesses with @RockingRBar Friday night take-out https://t.co/vuqpiASEXW
1246240372428136449,2020-04-04 00:57:13,"My team has been on this since they reached out a few days ago. We spoke to them three times today, when told the flight was cancelled.  Got them on an Aeroflight this morning, but Russia cancelled all planes and shut down the airport.  We are working w/State on other options. https://t.co/9j4EezjtVt"
1246132110420664320,2020-04-03 17:47:01,"Great news .... Fought hard to ensure Social Security beneficiaries will now be able to receive direct checks without having to file taxes. 
https://t.co/qUHM6L8wTq"
1245838890264678401,2020-04-02 22:21:52,I'm confident and hopeful that it is American innovation that will lead to drugs to treat and prevent COVID-19. https://t.co/f1pDLYCKuH
1245825597596565507,2020-04-02 21:29:03,"Grocery stores all over the state are offering special hours of business for our seniors and those who are high risk for #coronavirus!  Visit https://t.co/2mh91zqGli for the details of stores near you, and don’t forget to thank your grocery store workers! https://t.co/FtDon0rEJt"
1245726608456994816,2020-04-02 14:55:42,"It's important to answer your questions and hear your concerns during these tough times.  We're all in this together.
https://t.co/4GEpFzfqwf"
1245535890539192323,2020-04-02 02:17:51,"NEWS: Following my request, the @USTreasury announced today that Social Security beneficiaries will be able to receive their direct check WITHOUT having to file taxes.  

Seniors, those with disabilities or low incomes don’t need any more hurdles during this pandemic."
1245496368572936192,2020-04-01 23:40:49,"Glad to support our local Bozeman businesses during these tough times.  If you're able, restaurants around Montana are still open for take out and delivery! https://t.co/HvElgX0GCz"
1245459737501675526,2020-04-01 21:15:15,"Just wrapped up a teletownhall taking questions from Montanans all over the state regarding COVID-19.  Thanks to all who joined, we’ll continue having these townhalls in the coming days &amp; weeks to answer questions from folks. https://t.co/bcC9BT5lPu"
1245350843739598855,2020-04-01 14:02:33,Construction of the Keystone XL pipeline will create hundreds of good-paying jobs for Montana workers.  Look forward to seeing this important project completed. https://t.co/vcbZBclhfu
1245176547171905537,2020-04-01 02:29:57,"#MontanaProud

https://t.co/jg2oGehoTk"
1245143851435798528,2020-04-01 00:20:02,RT @DonaldJTrumpJr: My good friend &amp; hunting buddy @SteveDaines needs our help before midnight tonight. Steve’s been one of the strongest s…
1245106182882127873,2020-03-31 21:50:21,"For information for borrowers, click here: https://t.co/kNOhnNnase"
1245106074077638657,2020-03-31 21:49:55,RT @SteveDaines: I fought to make $350 billion available for small business loans and 100% forgivable loans for those who keep their employ…
1245106057304653825,2020-03-31 21:49:51,"For information for lenders, click here: https://t.co/Xtj0NKgKyJ"
1245105825208647680,2020-03-31 21:48:56,I fought to make $350 billion available for small business loans and 100% forgivable loans for those who keep their employees.  We must protect MT small businesses and workers during the COVID-19  pandemic! https://t.co/f4WaJWmt3r
1244626700580741121,2020-03-30 14:05:04,"Thrilled to help get Pastor Mark and these Montana Tech students home.  My staff and I will continue working around the clock to get Montanans home who may be stuck abroad. 
https://t.co/E1lgsD6vLl"
1244331407272316928,2020-03-29 18:31:40,"Today on #VietnamWarVeteransDay we honor and thank the brave men and women who served our nation in Vietnam. 

On behalf of all Montanans and Americans, thank you.🇺🇸"
1244292527198318592,2020-03-29 15:57:10,"I’m working hard to ensure that Montanans stuck abroad during this pandemic make it home safely. 

https://t.co/6lVMYQdBKY"
1244283493045030913,2020-03-29 15:21:17,"After learning that students at Bozeman's Traveling School were stuck in Peru, I'm glad to have helped get them home.  I'll continue working to get Montanans home during these crazy times. https://t.co/mXGhTFRvi8"
1243952672224370689,2020-03-28 17:26:43,Just got off the phone with Madison and her dad Andy from Wilsall - one of the Montana Tech students we were able to get home from Peru.  They shared this photo w/ me of their reunion at the airport last night.  Glad to have Madison home! 🇺🇸 https://t.co/OwWgUACDwW
1243895263212605440,2020-03-28 13:38:35,"We must accelerate drug development and manufacturing to not only treat &amp; prevent COVID-19, but to stop the next pandemic.  There’s amazing American innovation and science out there, and I’m pushing to get those drugs to market ASAP. https://t.co/3Kwl7mokYA"
1243711718124969984,2020-03-28 01:29:15,Supporting our local Montana businesses!  #TakeOut #NakedNoodle https://t.co/WIrG76YmMi
1243651032271523840,2020-03-27 21:28:06,".@realDonaldTrump just signed the Coronavirus economic recovery package into law - a bill that will provide relief for struggling Montanans all over our state.

For all those hurting: help is on the way."
1243615098922364928,2020-03-27 19:05:19,Honored to have fought for Montana every step of the way.  Montanans are struggling right now and this bill will provide real relief to folks across our state. https://t.co/3tPLMgZoCf
1243578911503482882,2020-03-27 16:41:31,Montana workers need relief - and that's exactly what this economic recovery package does.  Look forward to it being signed into law quickly. https://t.co/Ki45XJo1Za
1243383082519916544,2020-03-27 03:43:22,"Tragic news.  Our hearts are with the victim and their loved ones.  

As Montanans, we’re strong.  We’ll get through this. https://t.co/jOtgLsUCAH"
1243209526783827969,2020-03-26 16:13:43,"NEWS: REAL ID deadline will be extended until October 1st, 2021. Exactly what I’ve been pushing for - good news for Montanans during this tough time. https://t.co/XEhWTypihw"
1243185576993386496,2020-03-26 14:38:33,"Glad to see the Senate come together and pass this critical economic relief package that will provide much needed help for MT workers, small businesses, healthcare providers, hospitals, tribes and more. 

Together, we will get through this. https://t.co/dcYqB3yvHV"
1242834366163636224,2020-03-25 15:22:58,"Glad to finally see a deal reached.  No more delays.  Time to vote on this recovery package – NOW. 
https://t.co/UzQWwpb8j5"
1242652612719075328,2020-03-25 03:20:44,"I’m going to bed tonight thinking about the Montanans who’ve lost their jobs in the past week - and that number will only increase in the morning.

The Senate needs to pass relief for our workers and small businesses. NOW. https://t.co/mbMzm3oUjA"
1242633599368585217,2020-03-25 02:05:11,"While the Senate continues not acting, Montanans are getting sacked.  We must give relief NOW! https://t.co/NxyhFM5DhC"
1242577739107856384,2020-03-24 22:23:13,"Today is #NationalAgDay, giving us the opportunity to celebrate the hardworking men and women that drive our economy and protect our Montana values.  I’ll never stop fighting for MT Ag, especially right now as they go through hard times! https://t.co/tBtsPdISC3"
1242532583466024965,2020-03-24 19:23:47,Montanans back home are suffering because of Coronavirus and they need relief now. We MUST pass the Senate bill. Hear some of their stories below ⬇️ https://t.co/GTNmmwNPqt
1242509401597992961,2020-03-24 17:51:40,"Thank you for the support, @VP!  Together, once the Senate acts, we’ll be able to accelerate drug development to treat and prevent COVID-19. https://t.co/Ed44K6BnM1"
1242476003336699910,2020-03-24 15:38:57,"Now isn’t the time for political games.  Congress needs to get its act together.  Montana workers, families, and small businesses need relief. https://t.co/jzGf2vx17T"
1242440132734713857,2020-03-24 13:16:25,Now is the time to stand together in support of our farmers and ranchers who are suffering.  We must pass relief now! https://t.co/gnxmF9WLXw
1242263596496814080,2020-03-24 01:34:56,"We can’t afford to play political games.  The health and livelihoods of Montanans are at risk.  We need to provide relief now. 
https://t.co/nt1oiuU9dL"
1242240002593099776,2020-03-24 00:01:10,"Something I’ve been pushing for. Thank you, @realDonaldTrump.  This is great news for Montanans.  Meeting the REAL ID deadline is the last thing folks should be worried about right now.
https://t.co/Wpx9xUE3zZ"
1242203920568438785,2020-03-23 21:37:48,"This bill provided much needed relief for Montana workers, families, and small businesses.  It’s a shame we’ve wasted another day.  Time to act NOW. https://t.co/Xk86hEIftm"
1242153241950867456,2020-03-23 18:16:25,"RT @SteveDaines: Millions of Americans, along w/ five of our colleagues, are quarantined because of COVID-19 right now. We are in a public…"
