id,created_at,text
1242856591088586752,2020-03-25 16:51:17,"RT @GregAbbott_TX: Many Texans have questions about unemployment benefits. 

The Texas Workforce Commission will answer your unemployment q…"
1242824791050027009,2020-03-25 14:44:55,RT @TXRandy14: @NASA’s hardworking contractors - through no fault of their own or the agency - face dire economic&amp;financial consequences wh…
1242596555531657217,2020-03-24 23:37:59,Nancy Pelosi &amp; D’s impeached President Trump for “holding up aid to Ukraine.” Now she &amp; Schumer are holding up aid to Americans. What should be done with them? @realDonaldTrump
1242538650174394368,2020-03-24 19:47:54,RT @RepJimBanks: Proud to work with @SethMoulton to introduce a bipartisan resolution in the House today that condemns the Chinese Communis…
1242538091769888778,2020-03-24 19:45:40,"@NASA’s hardworking contractors - through no fault of their own or the agency - face dire economic&amp;financial consequences when they’re restricted or unable to go to work. We must support our aerospace workforce. #COVID-19 

cc: @SpeakerPelosi @GOPLeader @senatemajldr @SenSchumer https://t.co/rWl9ZBtmcE"
1242497997663023104,2020-03-24 17:06:21,RT @RobertWasinger: Unsurprising how there is a total lack of empathy or understanding from @sfpelosi #PoliticizingCoronavirus  #COVID19  h…
1242470388564721666,2020-03-24 15:16:39,"RT @WhiteHouse: President Trump told Congress to send him a bill that protects our economy, your job, your retirement savings, and your fam…"
1242416197339144192,2020-03-24 11:41:19,"He is doing a great job, Kristie! Despite being maligned, attacked &amp; basically slandered by the Liberals &amp; the Fake News Media. Yet our President perseveres. Other countries hate him: China, Russia...etc because he’s making America great again. Yet he perseveres @realDonaldTrump https://t.co/lmAFPJTr0x"
1241784843500994562,2020-03-22 17:52:32,"There is another virus and it’s the spread of disinformation.  

Myths v Facts ⬇️

https://t.co/vcOtKaCeRP"
1241405772346654725,2020-03-21 16:46:14,RT @fema: There has been a lot of misinformation spreading about the #COVID19 crisis. Please only rely on information published by official…
1240643523826921473,2020-03-19 14:17:20,RT @RepDennisBonnen: TX has requested @SBAgov grant Economic Injury Disaster Loans for small businesses affected by #COVID19. Learn more: h…
1240364829686353922,2020-03-18 19:49:54,"RT @TexasDSHS: Texans must act now to slow #COVID19.

The next two weeks are critical in slowing coronavirus in Texas. Stay home when possi…"
1240336359690326019,2020-03-18 17:56:47,"RT @HouseGOP: What is social distancing?
 
Why are we doing it?
 
Dr. Anthony Fauci, Dr. Deborah Birx, and Surgeon General Jerome Adams exp…"
1240119838175121408,2020-03-18 03:36:24,RT @GovAbbott: Today I requested a designation from @SBAgov to allow Texas small businesses to apply for low-interest Economic Injury Disas…
1240085459742662656,2020-03-18 01:19:47,RT @JimBridenstine: Important message for the @NASA workforce on the agency’s response to coronavirus (COVID-19): https://t.co/piI21ECtvH h…
1239967489120858112,2020-03-17 17:31:01,"Veterans: The VA is providing coronavirus updates and provider information for you.  Please visit https://t.co/5pE7r78MHE for up-to-date information on how the VA is helping veterans who may be suffering from the coronavirus.

#COVID19"
1239672232252788738,2020-03-16 21:57:46,RT @Mike_Pence: President @realDonaldTrump’s Coronavirus Guidelines for America: https://t.co/ggsF44SxCl
1239666172003565569,2020-03-16 21:33:41,"RT @AjitPaiFCC: In wake of #Covid_19 outbreak, telework, remote learning, and telehealth are key. We must ensure that Americans don't lose…"
1239593539614507008,2020-03-16 16:45:05,#COVID19 https://t.co/70te9NQsEz
1239593136931983360,2020-03-16 16:43:29,"Many of our businesses are wondering how to best keep their employees
and customers safe during this rapidly evolving outbreak.  Here are some suggestions from @USChamber: https://t.co/Yg9Pry9Fwd"
1239584500851539976,2020-03-16 16:09:10,"Coronavirus live blog —

Former CDC official Dr. Robert Amler answers questions  https://t.co/sPxIADm3mE"
1238876571001290753,2020-03-14 17:16:06,Weber Issues Statement on Galveston County Coronavirus Case | U.S. Representative Randy Weber https://t.co/IZo09HytZy
1238657076462788608,2020-03-14 02:43:54,RT @USChamber: All employers should be ready to implement strategies to protect their workforce from the Coronavirus while ensuring continu…
1238124967952371712,2020-03-12 15:29:30,"Check out this Delta II rocket - started flying in 1989 and had its last flight in 2018. With 9 solid rocket boosters strapped on, Delta II had a pretty cool configuration. 🚀

@torybruno feel free to fact check me on this! https://t.co/cheUQJMxLJ"
1237747883379691520,2020-03-11 14:31:06,Thank you Mr President! On top of things as usual! The best insurance our country can have is to re-elect you in 2020! Best policy &amp; policies ever! @realDonaldTrump https://t.co/MiHr0schtK
1237591555952611331,2020-03-11 04:09:54,"RT @JimBridenstine: Perseverance – continued effort to do or achieve something despite difficulties, failure or opposition. And now, the na…"
1236743288427819009,2020-03-08 19:59:12,"RT @XploreDeepSpace: Women are making history every day by contributing to groundbreaking space missions &amp; projects, while also inspiring t…"
1235935641231405056,2020-03-06 14:29:54,Our great President: his economy is soaring! &amp; D’s want to replace him? With what? “Slidin Biden” who let everything slide w/Obama? So that other countries walked all over us?Sick! We are on right track! Change  horses in mid-stream? So Socialism prevails? No! @realDonaldTrump https://t.co/3qRhGQiY1V
1235385422672310272,2020-03-05 02:03:31,"Coverage here: 

https://t.co/WjYjvIdKxo"
1235384618963980288,2020-03-05 02:00:20,"RT @SenateCommerce: .@CBP and its federal partners have taken decisive, proactive, and preemptive action to mitigate the threat, minimize r…"
1235361438828556289,2020-03-05 00:28:13,"RT @Yoder_Esq: Over 150,000 veterans have filed lawsuits against 3M Company after a $9.1 million lawsuit was settled with the U.S. govt.

C…"
1235268584840081410,2020-03-04 18:19:15,"Tomorrow at 9am ET/8am CT, the @HouseScience Committee will hold a hearing to discuss the coronavirus outbreak &amp; the modeling tools used to detect, predict &amp; understand the spread of these diseases. 

What questions would you want discussed? 

#COVIDー19 🦠🔬 https://t.co/JkI5T7A14d"
1235257914610372610,2020-03-04 17:36:51,"For the first time in 4 years, @NASA is accepting applications for the next class of American Astronauts! This is an exciting time in our nation’s history as we return to the Moon with the Artemis program🇺🇸

Applications open until March 31!

#Moonwalkers #BeAnAstronaut #Artemis https://t.co/Dv60jTQcbV"
1233579543035817987,2020-02-29 02:27:36,@PresidentBAssad Can you say delusional? Can you say a ruthless dictator; destroying his country?
1233109803469287424,2020-02-27 19:21:01,"Great to see you on Capitol Hill @torybruno! ⁦@ulalaunch⁩ builds &amp; launches some great rockets, delivering critical payloads safely to space (to the tune of 100 percent mission success rate!) 🤘🏼🤠🚀 https://t.co/Vvgd6BvISL"
1232841705696698370,2020-02-27 01:35:42,"Always a pleasure having the opportunity to speak at Space Transportation Association events. 

And It’s a plus when I get to join my fellow Texan @SenTedCruz!! https://t.co/wLhHuYyelZ"
1232727774382764032,2020-02-26 18:02:59,RT @Heritage_Action: Thank you @TXRandy14 for cosponsoring the Jobs and Opportunity with Benefits and Services for Success Act! With your s…
1232727667067232256,2020-02-26 18:02:33,"“The new federal budget request issued Feb. 10 is great news for ⁦@NASA, ⁦@NASA_Johnson⁩ and Houston” 

Great article by ⁦@DirectorMarkG⁩!  https://t.co/NsZSCtkArO"
1232366504244654082,2020-02-25 18:07:25,"RT @DonaldJTrumpJr: The coronavirus outbreak shows how important it is for us to keep our borders secure. 

It's also why @realDonaldTrump…"
1232067922316742656,2020-02-24 22:20:58,"Thank you Chairwoman! 

It’s a pleasure serving with you, @RepKendraHorn https://t.co/sliSibYffM"
1232029238900838400,2020-02-24 19:47:15,"RT @sfrantzman: Times of rocket launches from Gaza toward Israel Feb 23-24, 80 rockets fired,

Feb 23
17:54
17:39
17:41
17:44
19:54
20:03
2…"
1230877035930644481,2020-02-21 15:28:48,"(5/5) I could go on. Some facts: 

1. the House bill is still subject to change as it makes its way through the legislative process. 
2. We ARE going &amp; we are going TOGETHER—NASA, with the help of our Commercial and International partners. 

#Artemis"
1230876975218118657,2020-02-21 15:28:34,"(4/5) Further, the claim that the bill prohibits the ability to “tap lunar resources” is factually incorrect. 

&amp; To accuse Committee of “handing NASA’s human spaceflight over to Boeing” (as your title suggests) is a pretty wild accusation. &amp; we both know that’s just not the case"
1230876925221994496,2020-02-21 15:28:22,(3/5) Congress remains committed to boots on the Moon for a number of reasons. You use “flags-and-footprints” to describe Congress’ vision for returning to the Moon &amp; that couldn’t be further from reality.
1230876862491967488,2020-02-21 15:28:07,"(2/5) There is, in fact, strong bipartisan support for the Administration &amp; @NASA’s Artemis program—not limited to the Committee—but Congress as a whole."
1230876678701731845,2020-02-21 15:27:23,"(1/5) As a member of the House SS&amp;T Committee, a Representative of many great NASA employees &amp; contractors, &amp; someone directly involved in this process, I would love to correct the record. The spread of misinformation doesn’t do anyone good, does it?  https://t.co/OnrBjKJ3UU"
1230667608879517696,2020-02-21 01:36:37,RT @SteveScalise: I can think of an example.
1230663200737087488,2020-02-21 01:19:06,RT @JimBridenstine: One area of research that is particularly exciting is the work @space_tango is doing to evaluate autonomous retinal imp…
1229219997010059269,2020-02-17 01:44:19,RT @realDonaldTrump: #DAYTONA500 https://t.co/fT8L0EZqXh
1228512695810449408,2020-02-15 02:53:46,Proud to cosponsor this important piece of legislation. Thanks for your leadership Mr. Ranking Member @RepFrankLucas 🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/nTNwiiIdAq
1228311671225114624,2020-02-14 13:34:58,"@RockeTony87 American togetherism is right, Tony! Thanks for all the hard work you do to contribute to American leadership in space!"
1228077822041886721,2020-02-13 22:05:44,"Had a great time meeting with some folks from TX-14 &amp; across the country at the SLS/Orion/EGS Suppliers Conference. 

Contractors &amp; @NASA are building the architecture and capabilities that will take us to the Moon &amp; on to Mars. #Artemis

@NASA_SLS @NASA_Orion @NASAGroundSys https://t.co/6DphbWihYL"
1227809261155160074,2020-02-13 04:18:34,Thanks @astro_aggie! Gig em! https://t.co/MD44YfCwN5
1227706351981383681,2020-02-12 21:29:38,RT @BoeingSpace: #Artemis suppliers from around the country share in supporting @NASA’s mission to put the first woman and next man on the…
1227571746561241088,2020-02-12 12:34:46,"the bureaucracy once created has one fundamental rule above all others - Preserve the bureaucracy."" Reagan understood. Trump understands. He is intent on draining that bureaucracy, aka: the Swamp. Thank GOD for President Trump...rw"
1227571745441361920,2020-02-12 12:34:45,"On this day in History:1988 - President Reagan said: ""I'm afraid that I have to confess to you that one of the sins of government, and one with which we must deal and never be able to completely successful with, and this includes our own government, is that"
1227359252622249989,2020-02-11 22:30:23,"Jessie Waters said he thinks “Socialism is for people who are lazy &amp; don’t want to work.” Or something to that effect. I couldn’t agree more. As I like to say: those kind of people think everyone is entitled to “Life, Liberty &amp; the Pursuit of Haplessness” @WattersWorld"
1227320673598615553,2020-02-11 19:57:05,"I am alarmed by reports of delayed reforms and a declining climate for U.S. investment in #Georgia, especially for energy companies from the #USA.  I wrote this letter to Georgia's Prime Minister @GakhariaGiorgi to express my serious concern. https://t.co/Ow87sliPiK"
1227256903501275136,2020-02-11 15:43:41,Today in history:1984 - The 10th Space Shuttle mission returned to Earth safely. 2000 - The Shuttle Endeavor took off-to gather information for the most detailed map of earth ever made. NASA: at work: for us! Today we hear from NASA Administrator Bridenstine at lunch. Good stuff!
1226992372434788360,2020-02-10 22:12:32,"With all @realDonaldTrump and capitalism are doing for Americans, I'm convinced that these socialists running for president, who promise all this free stuff, subscribe to a philosophy of ""life, liberty &amp; the pursuit of haplessness""."
1226970783257432065,2020-02-10 20:46:45,"Wishing @housesciencegop Energy Staff Director the best as she joins @GOPLeader’s team as a Senior Policy Advisor. Mr. Leader, you’re in good hands. 🧠💪🏼

Thanks Emily for your hard work over the years—You will be missed! https://t.co/f1Qte1gjdp"
1226889488338751488,2020-02-10 15:23:43,Great news Mr Administrator! We are looking forward to great things! And as we like to say: There’s always Space for Improvement!...rw https://t.co/8VGqVA8Ec4
1226586060215476224,2020-02-09 19:18:00,Our great NASA! Hard at work!...rw https://t.co/OjUmlSzpbD
1226209565924102144,2020-02-08 18:21:57,@torybruno 🙌🏻🤠
1226208456790695938,2020-02-08 18:17:32,"Ready for lift off of @ESASolarOrbiter! The joint mission between @NASA &amp; @esa to observe+study the Sun &amp;how it shapes space weather, the conditions in space that can impact astronauts, satellites, &amp;everyday tech like GPS and radio

#GoAtlas #SolarOrbiter 🌞🛰
Video: @ulalaunch https://t.co/G5KsuCLhcz"
