id,created_at,text
1247295091577847808,2020-04-06 22:48:18,"🚨🚨@CDCgov has announced it will be providing Missouri with an additional $3.9 million to fight #COVID19. 

This funding will help provide healthcare professionals with vital resources as they continue to care for coronavirus patients. #ShowMeStrong #InItTogether"
1247264556147249152,2020-04-06 20:46:57,Have questions about #COVID19? Visit my website for up-to-date information: https://t.co/aIeb91rlmA
1247254134086041607,2020-04-06 20:05:33,RT @MoEcoDevo: #MO is receiving $13.6 M in CDBG funding from @HUDgov to aid in #COVID19 response efforts. It will be used for projects like…
1247254075726532608,2020-04-06 20:05:19,"RT @HouseCommerce: IMPORTANT: E&amp;C members are #InItTogether to stop #COVID19 scams.

➡️@repgregwalden, @cathymcmorris, @FrankPallone, @RepS…"
1247235910573469697,2020-04-06 18:53:08,"RT @WaysandMeansGOP: What is the #PaycheckProtectionProgram? 

✅Nearly $350 billion program to provide eight weeks of cash-flow assistance…"
1247199763377860611,2020-04-06 16:29:30,RT @HealthyLivingMo: 🩺We'd like to kick off #NationalPublicHealthWeek with a huge THANK YOU to the staff on our team. Whether you work in e…
1247193086557655041,2020-04-06 16:02:58,RT @WhiteHouse: Practicing strict hygiene is one of the most important things you and your household can do to slow the spread. https://t.c…
1247175855715082247,2020-04-06 14:54:30,"RT @GovParsonMO: Today begins the ""Stay Home Missouri"" statewide order until Friday, April 24, 2020.

This is not about any one individual…"
1247175796055293952,2020-04-06 14:54:15,"RT @GOPLeader: Attention small businesses: here's how your workers can 𝒔𝒕𝒂𝒚 𝒆𝒎𝒑𝒍𝒐𝒚𝒆𝒅:

100% federally-guaranteed loans for 8 weeks. If you…"
1247175754393288704,2020-04-06 14:54:05,"RT @HouseGOP: The @USTreasury and @SBAgov’s #PaycheckProtectionProgram provides much-needed certainty and #SmallBizRelief.
 
If small busin…"
1246873107996053509,2020-04-05 18:51:29,"Today a local banker said that in less than 48 hours, they got 526 loans approved worth $82 million, effectively protecting thousands of #Missouri07 jobs w/ #PPPLoans. 

Thanks to the #CARESAct, businesses across our country are  getting the relief they need."
1246177830175756289,2020-04-03 20:48:42,"RT @HouseGOP: 📺 NEW from @waysandmeansgop:
 
Help is on the way for American small businesses and families.
 
The #PaycheckProtectionProgra…"
1246166685247320071,2020-04-03 20:04:25,"RT @westernfairs: Our nation's leaders continue to advocate for our industry! Thank you, Representative Long, for your support of agricultu…"
1246162329269686274,2020-04-03 19:47:06,Curious about what the #CARESAct means for you? Learn more about relief fund eligibility in this week’s #ShortReport: https://t.co/CJpYcfJ53i
1246139784889864193,2020-04-03 18:17:31,"RT @PressSec: The #Coronavirus may have temporarily interrupted the booming success of our prospering economy, but @realDonaldTrump is work…"
1246132021489012743,2020-04-03 17:46:40,Mayor Shaw has issued a stay-at-home order for Joplin. Read more ⬇️ https://t.co/iAdybWrOql
1246126537474220033,2020-04-03 17:24:53,"RT @dcexaminer: ""Lower taxes and fewer regulations unleashed the best economy in half a century,"" writes @GOPLeader.

The coronavirus, a ""'…"
1246117243584425986,2020-04-03 16:47:57,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246114034329554944,2020-04-03 16:35:12,RT @WhiteHouse: It is critically important for Americans to continue taking care of their mental health while we follow social distancing g…
1246113677234917377,2020-04-03 16:33:46,"RT @HouseGOP: Protect yourself and others:
+ avoid crowds
+ wash your hands
+ avoid travel
+ work from home
+ disinfect surfaces
 
The @Whi…"
1246091627707408385,2020-04-03 15:06:09,RT @WaysandMeansGOP: TODAY small businesses can now apply for the #PaycheckProtectionProgram. Learn more at https://t.co/q27jiVKRqE https:/…
1246091563295531009,2020-04-03 15:05:54,RT @GovParsonMO: I cannot emphasize enough how important it is for all citizens to practice social distancing and abide by this - the more…
1245820484522053633,2020-04-02 21:08:44,Love seeing @MercySGF nurses spreading joy between treating patients. Thank you for all you do! https://t.co/bKHvuySP3u
1245804585425539074,2020-04-02 20:05:33,"RT @SBAgov: Stay updated on #COVID19 programs and resources for small businesses. Here's how:
👉 Go to: https://t.co/18P7pOPxWI
👉 Get email…"
1245797633957998592,2020-04-02 19:37:56,RT @GovParsonMO: #ShowMeStrong
1245797288473133058,2020-04-02 19:36:34,"RT @HouseGOP: If you think you're sick…
 
🚫 DON'T get in the car.
 
📱 Call your doctor.
 
👩🏼‍⚕️ Listen to their advice and instructions. ht…"
1245796789799845888,2020-04-02 19:34:35,"Thanks to @realDonaldTrump’s leadership, American workers, families, farmers, &amp; healthcare professionals on the frontlines have access to the vital resources they need. 

Do your part to slow the spread now so we can all get back to doing what we love soon #InItTogether #CARESAct https://t.co/gJgp0AlJSk"
1245787063703789568,2020-04-02 18:55:56,"RT @GOPLeader: President Trump signed the #CARESact into law. Here's what that good news means for families, small businesses, and health c…"
1245787039225622528,2020-04-02 18:55:50,"RT @WaysandMeansGOP: Dems have shown us they will stop at nothing to push their agenda.

Pelosi now wants a tax giveaway for the wealthy.…"
1245742688084865024,2020-04-02 15:59:36,"Now more than ever, Americans depend on reliable wireless networks to work, interact with loved ones, &amp; get vital information. The @Tmobile @sprint merger will foster greater competition in the wireless market &amp; ensure the US remains a world leader in this space. Full statement: https://t.co/G0KpArAMd5"
1245719285147852800,2020-04-02 14:26:36,"RT @WhiteHouse: ""Every citizen, family, and business can make the difference in stopping the virus. This is our shared patriotic duty."" — P…"
1245719207519621121,2020-04-02 14:26:18,RT @HSBCgop: Help is on the way for #SmallBiz thanks to the #CARESAct! @USTreasury has released new Paycheck Protection Program guidance do…
1245709004212404225,2020-04-02 13:45:45,"RT @GOPLeader: THANK YOU to the hospitals on the front lines of this fight.

Whether you are working there as a doctor, nurse, or a janitor…"
1245708979642261505,2020-04-02 13:45:39,"RT @GovParsonMO: Exercise common sense: If you feel sick, stay home. 

If someone in your household has tested positive for COVID-19, keep…"
1245469142217523200,2020-04-01 21:52:37,"Republicans are saying #InItTogether &amp; Dems are plotting to include unrelated partisan provisions in a new #COVID19 bill. See the difference? 

We need to set political agendas aside &amp; focus on clean bills to provide Americans &amp; healthcare professionals support during this crisis https://t.co/2D9Ipj3sXP"
1245465705547522057,2020-04-01 21:38:58,"RT @HealthyLivingMo: 📱 A #COVID19 consultation is just a download away. 
@Apple released an app that guides Americans through a series of h…"
1245465660450197504,2020-04-01 21:38:47,"RT @MoAgriculture: Our farmers, ranchers and agribusinesses across the state are working hard to ensure there is wholesome and nutritious f…"
1245465525003653121,2020-04-01 21:38:15,"RT @WaysandMeansGOP: Help is on the way for small businesses across the country, thanks to the #CARESAct. Read more about the bill @realDon…"
1245438239701438471,2020-04-01 19:49:50,Farmers across our nation are hurting and desperately need our support. That’s why I joined my colleagues to encourage @SecretarySonny to use funds from #CARESact to give them the relief they need. https://t.co/GRL3De2d30
1245435071018029058,2020-04-01 19:37:14,"As we continue to wage war against this invisible enemy, we owe it to the American people to set partisan interests aside &amp; pass additional legislation to fight the coronavirus if &amp; when needed 

I stand w/ @GOPLeader ready to work w/ all of my colleagues b/c we are #InItTogether https://t.co/EH3FtqjG4a"
