id,created_at,text
1247294623648829440,2020-04-06 22:46:26,"RT @SNNTV: Congressman Vern Buchanan is helping bring home a Sarasota veteran stuck overseas amid the pandemic
@Alejandro_SNN
MORE: https:/…"
1247233863987929090,2020-04-06 18:45:00,"Just got off the phone with Ken Lawson about improving the state's response to skyrocketing unemployment claims. Ken runs the state Economic Opportunity Dept. He said they are adding servers for on-line applications, hiring new workers and shifting people to answer calls."
1247194159687118848,2020-04-06 16:07:14,"Take a look at this helpful tip sheet for some simple steps you can take to “coronavirus-proof” your home and help protect you and your family.

https://t.co/IXMFyAGAxj"
1246897912363339779,2020-04-05 20:30:03,"Just had a great talk with Perce Paxton of Bradenton, who's happy to be home with his wife Peggy after being trapped on the cruise ship Coral Princess for the past month. Perce said a lot anxiety on board, as you can imagine. Welcome home Perce and Peggy!"
1246853484915425294,2020-04-05 17:33:30,RT @mysuncoast: “I spoke with the U.S. Ambassador to India this weekend and he assured me that Kendra would be on the next flight out.” htt…
1246780540642091010,2020-04-05 12:43:39,"Spoke with Miami-Dade Mayor Carlos Gimenez last night and he assured me that all six of our neighbors from Bradenton and Sarasota are healthy and have disembarked after being screened from the cruise ship Coral Princess. Not everyone on board was as fortunate, some with COVID-19."
1246529514005553153,2020-04-04 20:06:10,RT @urbanmark2014: #Bradenton residents rescued from Coral Princess cruise ship amid COVID-19 outbreak https://t.co/B6LklMcsWQ
1246475816697020418,2020-04-04 16:32:47,A Bradenton couple on board the Coral Princess ship just emailed me that they are feeling fine and will be allowed off the ship shortly.  Six of my constituents are on board - two couples from Bradenton and two residents from Sarasota.
1246191275340070913,2020-04-03 21:42:07,"I just learned that 60 Floridians, including 4 Bradenton residents and 2 from Sarasota, are on board the cruise ship Coral Princess. I’m working to ensure all my constituents come home. I did the same for constituents on other ships. No Floridian should be left stranded at sea."
1245835170722328578,2020-04-02 22:07:05,"Florida’s stay-at-home order takes effect tonight at midnight. Check out the article below to see which essential businesses will remain open including pharmacies, grocery stores and restaurants.

https://t.co/9aQo6gumvA"
1245702121707757568,2020-04-02 13:18:24,"Our fellow Floridians on a cruise ship are coming home, including four of my constituents. Those sick will get the treatment they need. This is the right decision and why I urged White House COS Staff Mark Meadows to intervene. We don't leave our neighbors stranded in the ocean."
1245502975516254208,2020-04-02 00:07:04,We need to do everything possible to beat this virus and keep people safe! https://t.co/1NR5oITsIu
1245484052880273409,2020-04-01 22:51:52,"Hearing that 49 Floridians stuck on a cruise ship, including four of my constituents, will be coming home. This is the right decision and why I urged White House Chief of Staff Mark Meadows to intervene. We don't leave our neighbors stranded in the ocean."
1245404696749228033,2020-04-01 17:36:32,I fully support the stay-at-home order issued by Gov. DeSantis because it reinforces that people should be taking serious steps to avoid spreading the COVID-19 virus. I have been getting calls recently from people throughout our region hoping the governor would take such action.
1245339207599558657,2020-04-01 13:16:19,https://t.co/eAMX9PJYWX
1245100944192344066,2020-03-31 21:29:32,RT @JSalomoneTV: Kendra Simpkins is a veteran and Sarasota native who is stuck in India. She is in the midst of a 21-day quarantine in New…
1245036595096498182,2020-03-31 17:13:50,RT @urbanmark2014: @VernBuchanan pushes State Department to help Floridians stuck overseas because of COVID-19 https://t.co/dsxXZL2aHm
1245008796214231040,2020-03-31 15:23:22,"India, Peru &amp; Colombia: Several of my constituents are trapped in these foreign countries, including Army vet Kendra Simpkins of Sarasota. I just urged Sec of State Pompeo to work harder to get them home.
https://t.co/Va5VJPrM0K"
