id,created_at,text
1247290092290551810,2020-04-06 22:28:26,RT @WhiteHouse: We will beat this virus together. https://t.co/guj8C1FCwf
1247253493259395076,2020-04-06 20:03:00,Insane. China— which is currently oppressing at least a million Uighurs in concentration camps— is appointed to a UN panel to oversee arbitrary detention &amp; freedom of speech. That’s a million reasons alone (w/ plenty more) why the CCP can’t be trusted to oversee human rights. https://t.co/uwXRkC42Yj
1247250535952105472,2020-04-06 19:51:15,RT @WhiteHouse: This is the moment to follow the guidelines strictly and steer clear of ANY large social gatherings. 🚫 https://t.co/wKzoTNU…
1247238141955715074,2020-04-06 19:02:00,"Not to be missed from Dr. Birx this weekend: “The next two weeks are extraordinarily important...[T]his is the moment to do everything that you can on the presidential guidelines.”  

Slow the spread. Stay home. https://t.co/uQ18JvOwXJ"
1247202646437609475,2020-04-06 16:40:57,RT @SBAgov: 🔖 BOOKMARK THIS: Information about all of SBA's #COVID19 resources in one place. 👇
1247202615437545473,2020-04-06 16:40:50,"RT @spokaneschools: SPRING BREAK is April 6-10. Here's what you need to know:
🔹 Our 24 meal sites will be open, as well as our mobile meals…"
1247200761093787654,2020-04-06 16:33:27,"Doctors, nurses, medical professionals, emergency responders, grocers, delivery workers &amp; so many others are on my mind. At this very uncertain &amp; anxious time, THANK YOU for serving on the frontlines. Thank you for your courage, compassion, &amp; brave actions."
1247200760158445570,2020-04-06 16:33:27,"Yesterday marked the beginning of Holy Week. Even when we are socially distant, we are united in prayer for hope."
1246253579255656448,2020-04-04 01:49:42,"RT @HouseCommerce: From hoax texts to fake products, bad actors are scamming innocent Americans during #COVID19. 

🚨NEW: @repgregwalden, @c…"
1246151481838825472,2020-04-03 19:04:00,"Did you see this? Autonomous vehicles transport COVID-19 tests to Mayo Clinic.

Another reason why America should lead on this type of life-saving tech &amp; innovation.

https://t.co/O2VUOOjtyC"
1246123433982865408,2020-04-03 17:12:33,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246123319402860544,2020-04-03 17:12:05,"RT @USTreasury: We know you have many questions about #COVID19. For the latest information, rely on official sources:
 
For health info: ht…"
1245891817779986437,2020-04-03 01:52:11,"RT @autismspeaks: On this #WorldAutismAwarenessDay, help us spread understanding and acceptance of people with autism. #LightItUpBlue https…"
1245782602080018432,2020-04-02 18:38:12,RT @realDonaldTrump: 30 DAYS TO SLOW THE SPREAD https://t.co/GIzwKSt5mq
1245782564243156998,2020-04-02 18:38:03,RT @WhiteHouse: The most important thing Americans can do for one another is practice the mitigation strategies in the President's guidelin…
1245460877492596738,2020-04-01 21:19:47,RT @IvankaTrump: Coronavirus Guidelines for America | The White House https://t.co/ldRsB5gUrF
1245437163237511169,2020-04-01 19:45:33,MORE from the @FTC: https://t.co/Sxz9wDSjMc
1245437162360909824,2020-04-01 19:45:33,"Tips from the @FTC to avoid scams.  

✅ Fact-check info &amp; know who you’re buying from  
📱Hang up on robocalls  
❌Ignore online offers for vaccinations &amp; home tests  
❌ Don’t respond to texts &amp; emails about checks from the gov’t  
❌ Don’t click on links from unknown sources"
1245437161488486400,2020-04-01 19:45:33,⚠️In the @WSJ this week “Coronavirus Creates an Epidemic of Scams.”  https://t.co/JeUfPx9jPs
1245432601797701634,2020-04-01 19:27:25,"Don't be fooled by the Chinese Communist Party's propaganda.  

🚨U.S. intel has confirmed we cannot trust China’s data on the coronavirus.🚨 

""China has concealed the extent of the coronavirus outbreak in its country, under-reporting both total cases &amp; deaths..."" https://t.co/j7gJflkoie"
1245088477194010625,2020-03-31 20:40:00,"Did you see this @kxly4news story? #InItTogether

Finding the Helpers: .@spokaneschools student uses 3D printer to create face shields for healthcare workers, including his mom who is a nurse practitioner. https://t.co/54oHd6XGwc"
1245072055231549440,2020-03-31 19:34:44,"RT @HouseCommerce: The SAFE Vehicles Rule makes clear that @realDonaldTrump's administration, including @NHTSAgov and @EPA, is committed to…"
1245072020041355270,2020-03-31 19:34:36,"RT @HouseCommerce: Full statement on the SAFE Vehicles Rule from E&amp;C GOP Leaders @repgregwalden, @cathymcmorris, &amp; @RepShimkus ⤵️
https://t…"
1244714248355418123,2020-03-30 19:52:57,"RT @Jesse_Tinsley: WATCH: If you have restless little ones stuck at home, the #NorthwestPassagesBookClub and @SpokesmanReview have started…"
1244713894708461568,2020-03-30 19:51:32,🇺🇸👩‍⚕️🧑‍⚕️🇺🇸 https://t.co/mR28Y027gV
