id,created_at,text
1243595214117392390,2020-03-27 17:46:18,"House &amp; Senate Approve Coronavirus Relief Bill
https://t.co/QvtQaoI3Fi"
1243594362661019653,2020-03-27 17:42:55,House &amp; Senate Approve Coronavirus Relief:  Legislation Includes Posey’s Provision to Protect NASA &amp; Defense Contractor Jobs and Pay http...
1242477735043309568,2020-03-24 15:45:50,Resources for Indian River County residents https://t.co/DtindunApD
1242170847185567744,2020-03-23 19:26:23,Resource to report fraud https://t.co/oYzuR6fF4Y
1241072330060824587,2020-03-20 18:41:16,"Reemployment Assistance benefits, formerly known as unemployment compensation, can be filed online at https://t.co/wVaY5qPnqI. If you have never filed in Florida before, use the ""File a New Claim"" link to start your application and create a profile."
1241055155044352001,2020-03-20 17:33:01,President Trump Gives Taxpayers Option to Extend Tax Filings to July 15 - Ways and Means Republicans https://t.co/BErCwExUOK
1241054910143238144,2020-03-20 17:32:02,Good to know on housing https://t.co/UaTVKnhg7X
1241036986158321668,2020-03-20 16:20:49,"Coronavirus prep: Publix, Target, Dollar General offer 'senior shopping hours' https://t.co/bnjTsd3roG via @Florida_Today"
1240705562469261312,2020-03-19 18:23:51,Governor DeSantis' request for Disaster Declaration was approved by US SBA. Resources for small business owners: https://t.co/XgKrR9V5pR
1240271939467345920,2020-03-18 13:40:48,Thoughts from the last nights conference call https://t.co/PxTTVvXQXZ
1239656063173111810,2020-03-16 20:53:31,Coronavirus Update from Rep. Posey https://t.co/KFvvfBOo0j
1232709385228554241,2020-02-26 16:49:54,"Reps. Posey, Ryan, Introduce Legislation to Protect Against Contaminated Pharmaceuticals  https://t.co/PEjq12YAR6..."
1228739706030084099,2020-02-15 17:55:49,"This morning - honoring fallen Borinqueneer PVT Irvin Simmons by presenting Congressional Gold Medal Repica to his brother Bobby Simmons, also a veteran of Korean War https://t.co/H1gtvTb32e"
1226910764755230721,2020-02-10 16:48:15,Rep. Posey to Honor Borinqueneer with Gold Medal Presentation   https://t.co/yzyDrbcTxt
1224913929287192577,2020-02-05 04:33:33,Rep. Posey’s Statement on the State of the Union Address  https://t.co/nh73Oc2xmw
1224911104813432832,2020-02-05 04:22:19,Taking with Spectrum Channel 13 News after the State of the Union tonight https://t.co/LOmXTy3VRP
1224905232464957446,2020-02-05 03:58:59,Talking with Samantha Manning of Channel 9 after the State of the Union https://t.co/jM00fMpICt
1215705532461469696,2020-01-10 18:42:40,Posey Supports Legislation to Take Action on PFAS Contamination https://t.co/9XX0u7Wt0w
1214375242514259973,2020-01-07 02:36:34,https://t.co/KoPuiXD9oF
1214375181642285056,2020-01-07 02:36:19,https://t.co/7bAJoJUE0s
1214374775927328768,2020-01-07 02:34:43,Congratulations SPACE FORCE on your first launch! Way to go SpaceX!!
