id,created_at,text
1247247912012099586,2020-04-06 19:40:49,Check out the #COVID19 Information Guide my office has compiled. It has links to various federal and state government websites to help you get the info you need!  https://t.co/IDisSK2clG
1246828554366726144,2020-04-05 15:54:26,"To all the men and women who are working to keep us safe during this difficult time, thank you! https://t.co/Z9hLjL5upC"
1246122923208912897,2020-04-03 17:10:31,"To help small businesses during this difficult time, @SBAgov has started the Payment Protection Program, which offers grants to help cover payroll. The application process opens TODAY (April 3)! Check out the link below for all the information. 🔽🔽 https://t.co/ibkn4WLhOI"
1245770260868993026,2020-04-02 17:49:10,"Taking Care of Your Emotional Health: https://t.co/24WB6AWczX
Helping Children Cope with Emergencies:
https://t.co/0ZQez2sEga
How to Fight the Social Isolation of Coronavirus:
https://t.co/LJKO9DyBeF
SAMHSA’s Disaster Distress Helpline:
https://t.co/FTJCGx5WfV"
1245770259963011072,2020-04-02 17:49:09,"During these times, it is important to not only take care of your physical health, but also your mental health. Check out the links below for info on helping folks cope, dealing with additional stress and fighting social isolation. @CDCgov @AARP @samhsagov"
1245425692373856257,2020-04-01 18:59:58,"Thanks to the students and faculty at @IowaStateU for working to help keep our first responders and those on the frontline, safe. Using 3D printers, they are making face masks for Iowa hospitals. https://t.co/HyZr88Wxmv"
1245422158483828743,2020-04-01 18:45:56,"If you are stuck abroad, all US Citizens should register with the @StateDept’s STEP program. For more info and to register, click here ➡️ https://t.co/NCJdpubs5K"
1245422157007552512,2020-04-01 18:45:55,International Travelers: the US @StateDept issued an updated Level 4 Global Health Advisory. Individuals who want to return to the US should seek to do so now! Prospects for commercial or evacuation flights could become more limited or unavailable. https://t.co/xHSB8kCvdK
1245379140695535616,2020-04-01 15:54:59,"Today is #CensusDay2020! With one simple task, you can do your part to help shape Iowa’s future! With billions on the line for local job training initiatives, schools and veteran’s programs, it’s imperative that everyone completes the form. For info, visit https://t.co/B3G8G9ZThf"
1245050994666409993,2020-03-31 18:11:03,"Last year, a full-time working woman earned just 81 cents for every dollar earned by her male counterpart. Women of color made even less.
 
As we face a global crisis on this #EqualPayDay, ensuring ALL workers are treated equally is more crucial now than ever before. https://t.co/0LN1epbk9A"
1245039264372371458,2020-03-31 17:24:26,"The @USDA has additional information on their website about dealing with food insecurity during the COVID pandemic. Check them out below.
https://t.co/Exa6vXENh1"
1245033655346528263,2020-03-31 17:02:09,"For folks in Johnson County who are in need of food assistance, below is a list of locations you can receive help. Many other counties and school districts in Iowa are offering food assistance during this time as well. You can contact them directly. #COVID19 https://t.co/l3mXWkPZV6"
1244723740946071554,2020-03-30 20:30:40,"Due to the passage of the third bill to combat #COVID19, the CARES Act, @iowaworkforce released new guidelines for unemployment insurance. If you need more info, take a look below and see how these new rules may affect you. https://t.co/ZwHGeF97Xd"
1244677749446447105,2020-03-30 17:27:55,Very sad to hear of the first death due to #COVID19 in Iowa's Second District. Terry and I send our condolences to their family and loved ones and to those of everyone who has been affected by this illness.
1244615181860245504,2020-03-30 13:19:17,"Very sad to hear of Jean Oxley’s passing. She was the first woman elected to the Linn County Board of Supervisors, where she served for 24. She used her position to fight for the elderly, youth and people with disabilities. Terry &amp; I send our condolences. https://t.co/GV4perZKf3"
1244362913776885761,2020-03-29 20:36:52,"For all the latest information on #COVID19, including steps to tackle the virus and resources for coping, check out the @UIowaCPH website! 🔽🔽 https://t.co/9BF3TE1nL3"
1244027987382722562,2020-03-28 22:25:59,"While folks continue to #StayHome, here are a few activities that will help you pass the time. https://t.co/TDADuJ2lMM"
1243610684048490497,2020-03-27 18:47:46,We can’t leave our front-line fighters without the supplies they need to save American lives. The Medical Supply Chain Emergency Act will force the President to federalize American manufacturing &amp; end the supply shortage. We need the #DefenseProductionActNOW. https://t.co/bVCZJ2heMd
1243289165434929154,2020-03-26 21:30:10,Very pleased that @IowaStateU and @uiowa have come together in this time of need to help speed up #COVID2019 testing across Iowa. This collaboration will expedite testing in order for Iowans to get their results faster! https://t.co/6355WNSiOB
1242932695484764160,2020-03-25 21:53:41,"Community health centers play an integral part in Iowa’s healthcare system, which is why I am pleased that local CHCs in Iowa's Second District received funding to help combat the #COVID19 illness &amp; keep Iowans healthy and safe. https://t.co/Vn4QRjNypj"
1242464812858212352,2020-03-24 14:54:29,Thank you to the farmers who keep food on our tables and fuel in our vehicles. #NationalAgDay https://t.co/hdDtqlvSCQ
1242464024706441223,2020-03-24 14:51:22,"If you’re an Iowa small business and have questions about disaster assistance and the impact of the #COVID19 virus, join @SBA_Iowa TODAY for a free webinar. Details 🔽🔽 https://t.co/AlUo967NhL"
1242190891802124289,2020-03-23 20:46:02,"If you’re a small business owner and struggling financially in these difficult times, the State of Iowa has begun offering Small Business Relief Grants to assist.  Visit https://t.co/gGtuC5wLWK for more info. https://t.co/5wdjjAmcAx"
1242101983277957121,2020-03-23 14:52:44,Very sad to hear of Dean Borg’s passing. I always enjoyed sitting down and chatting with him as former moderator of @IowaPress. His leadership of the show built it into what it is today. Terry and I send our sympathies to Dean’s family and loved ones. https://t.co/4aQUl4bI2e
1241808711133298692,2020-03-22 19:27:23,There are concerns from across the district about PPE shortages. Congress &amp; the President must act now to address this shortage. Our healthcare workers should not be worried about supply shortages as they work overtime to keep us healthy and safe. https://t.co/zcZ1qciR0t
1241405331269398529,2020-03-21 16:44:29,"Even though you may not be showing symptoms, you could still be a carrier of #COVID19 &amp; pass it along to others without knowing. It’s important to practice these CDC recommendations to help slow the spread and keep yourself and others safe and healthy https://t.co/3LmkuWIfVv"
1240995551149162497,2020-03-20 13:36:10,"Are you able to donate blood? Due to the cancellation of large blood drives and social distancing, our nation’s blood supply is low. Many blood centers are still open and you can make an appointment to donate today! More info from @US_FDA: https://t.co/uras6UApC1"
1240745322353229824,2020-03-19 21:01:51,"Healthcare workers are on the frontlines in the fight against #coronavirus! We must make sure they have the supplies they need to properly treat and care for those who become sick, as well as to protect themselves. https://t.co/8DYLmHpomH"
1240385873969061893,2020-03-18 21:13:32,"Even though you may not be showing symptoms, you could still be a carrier of COVID-19 &amp; pass it along to others without knowing. It’s important that everyone helps out in times like these and that means staying home and avoiding gatherings where it could be passed unknowingly. https://t.co/KKg8kldCya"
1239690969647325189,2020-03-16 23:12:14,"Due to public safety and to help slow the spread of COVID-19, my physical offices in Iowa City, Davenport and DC will close 3/17/2020. Iowans will be able to reach our office between 8:30am-6:00pm CT. Emails will monitored on a regular basis. More info: https://t.co/rl2MTo4skn"
1238117767292899329,2020-03-12 15:00:53,"For the latest information and facts about the coronavirus, I encourage everyone to visit the CDC's website. They have the most up to date information and ways to help prevent its spread. Check them out in the link below! https://t.co/eKmRlRUAcT"
1237024831587135490,2020-03-09 14:37:57,Back to Back! Congrats to the @NSladylancers on winning the Iowa girls' state basketball tournament for a second year in a row! #IA02 https://t.co/kBAWCETEfQ
1236818984831418371,2020-03-09 00:59:59,"Below is my statement on the recent positive testing of 3 Iowans for #COVID2019. For more information visit https://t.co/Q9nAgwQHCa.  In addition, a public hotline has been established for Iowans with questions about COVID-19. The line is available 24/7 by calling: 2-1-1. https://t.co/FBqeVKLiQF"
1236747575224676354,2020-03-08 20:16:14,"Today and every day, we must honor the sacrifices and contributions of the women who came before us by recommitting ourselves to the fight for true equality. #IWD2020 #WomensHistoryMonth https://t.co/uUeCtPCvAF"
1236006102791327744,2020-03-06 19:09:53,"Once again, the Trump Admin &amp; @EPA looked farmers in the eye and told them one thing, only to stab them in the back when they turn around. Iowans know the #RFSworks and I'll continue fighting to expand access to renewable fuels &amp; grow rural economies. https://t.co/KJH51Giomu"
