id,created_at,text
1247238446713843713,2020-04-06 19:03:12,NOW: Talking with RIDLT Director Scott Jensen about how working people can access benefits from the $2.2 trillion emergency relief package that Congress passed. https://t.co/ci1ekZQlKW
1247177771429892101,2020-04-06 15:02:06,"This is why we need a national stay at home order, @realDonaldTrump. https://t.co/rab27vUQ3o"
1247132522112319488,2020-04-06 12:02:18,RT @richluchette: Rep Cicilline will be joining @GeneValicenti on @wpro at 8:05.
1246560034210877447,2020-04-04 22:07:26,RT @RepJayapal: My state was hit first and hard.  Now we are being told that some checks that were supposed to be for immediate relief won’…
1246493414746718210,2020-04-04 17:42:43,RT @RepJayapal: The President said it himself: It isn’t fair that so many people can’t afford health insurance &amp; don’t qualify for Medicare…
1246442514875387905,2020-04-04 14:20:27,RT @NitaLowey: We will get through this crisis together. @HouseDemocrats are committed to supporting working families struggling to pay ren…
1246269309443325957,2020-04-04 02:52:12,How many civil servants will be victimized by this President before Republicans wake the hell up?
1246203418508746753,2020-04-03 22:30:22,"RT @RepBarragan: Rent is due. Bills have to be paid.

The House sent $2.2 trillion in relief to the President to sign last week. 

Now, his…"
1246203326691147779,2020-04-03 22:30:01,"RT @RepFilemonVela: Rent is due. The House sent $2.2 trillion in relief to the President to sign last week. Now, his administration is sayi…"
1246157445761830912,2020-04-03 19:27:42,#NewProfilePic https://t.co/gKZNbE6yMp
1246134553418358785,2020-04-03 17:56:44,RT @RepDebHaaland: We did the work to ensure working families come first. We can’t let the President’s failure to lead stop people from get…
1246134538075586566,2020-04-03 17:56:40,"RT @janschakowsky: Another consequence of @realdonaldtrump’s chaotic, unprepared approach to governing. #WhereIsTheMoney https://t.co/q3V9p…"
1246134529288540169,2020-04-03 17:56:38,"RT @janschakowsky: Rent is due. The House sent $2.2 trillion in relief to the President to sign last week. 

Now, his administration is say…"
1246124097404317698,2020-04-03 17:15:11,"RT @janschakowsky: One week ago, my colleagues and I sent the President a $2.2 trillion spending bill to help families hurt by the COVID-19…"
1246123930118770688,2020-04-03 17:14:31,".@SpeakerPelosi is right. We must go bigger if we’re going to address the challenges of this pandemic.

We’ll be fighting for:

• More resources for hospitals &amp; health care workers
• More small business relief
• Longer unemployment benefits
• More direct payments to workers"
1246117740844388353,2020-04-03 16:49:55,RT @RepBarbaraLee: The extreme incompetence of Trump and his cronies is about to make things even worse for working families across the cou…
1246105759169097731,2020-04-03 16:02:19,RT @JimLangevin: Congress acted with urgency to help folks put food on the table and keep roofs over their heads. Bills are due now; the Ad…
1246102228869529600,2020-04-03 15:48:17,A President’s incompetence has consequences. This administration is failing the American people when they need it most. #WhereIsTheMoney
1246101615599386625,2020-04-03 15:45:51,"RT @TheBlackCaucus: Rent is due. The House sent $2.2 trillion in relief to the President to sign last week. Now, his administration is sayi…"
1246101487513743361,2020-04-03 15:45:20,"RT @TheBlackCaucus: Yes, #whereisthemoney"
1246098084398063617,2020-04-03 15:31:49,Some folks may have to wait 20 weeks for their checks? This is unacceptable! #WhereIsTheMoney https://t.co/K5q42K9oNA
1246097898967896065,2020-04-03 15:31:05,"RT @RepEspaillat: One week ago, my colleagues and I sent the President a $2.2 trillion spending bill to help families hurt by the COVID-19…"
1246097884782698497,2020-04-03 15:31:01,"RT @RepBobbyRush: 6.6 million Americans filed for unemployment last week, but rent is still due on the 1st.

The CARES Act would put money…"
1246097859977580545,2020-04-03 15:30:55,"RT @RepEspaillat: Rent is due. The House sent $2.2 trillion in relief to the President to sign last week. Now, his administration is saying…"
1246095703753048071,2020-04-03 15:22:21,"RT @RepMcNerney: A week ago, we sent the President a $2.2 trillion relief package to help the millions of Americans who have been financial…"
1246095590485831681,2020-04-03 15:21:54,RT @CongressmanRaja: #WhereIsTheMoney
1246094599669592066,2020-04-03 15:17:58,"RT @RepHarley: Rent is due. We sent $2.2 trillion in relief to the President to sign last week. Now, his administration is saying some folk…"
1246094568824733697,2020-04-03 15:17:51,RT @RepJerryNadler: Millions of small businesses are desperately searching for ways to stay afloat. Now they're hearing that thousands of U…
1246093190119280640,2020-04-03 15:12:22,80 million Americans without banking information on file may have to wait even longer before they get their checks. #WhereIsTheMoney https://t.co/K5q42K9oNA
1246092959021498368,2020-04-03 15:11:27,"RT @RepShalala: Rent is due. The House sent $2.2 trillion in relief to the President to sign last week.

Now, his administration is saying…"
1246090845247373313,2020-04-03 15:03:03,The Treasury Department still doesn’t have a system for sending out checks. #WhereIsTheMoney https://t.co/KfC4FcengW
1246077099959619584,2020-04-03 14:08:26,"RT @RepCicilline: NOW: Facebook Live on resources for small businesses with @davidcicilline, @SenWhitehouse, and @sbagov. https://t.co/Bakz…"
1246064680440823810,2020-04-03 13:19:05,"It’s been almost a full week since the House sent @realDonaldTrump a $2.2 trillion emergency relief bill to sign. One week later, families are still waiting. Where is the money? #WhereIsTheMoney"
1245853978115461120,2020-04-02 23:21:49,War criminal Eddie Gallagher got a pardon. An aircraft carrier captain who raised warnings about COVID-19 lost his command. https://t.co/dbsOhqio4l
1245809093765410823,2020-04-02 20:23:28,"Click the link below to ask @davidcicilline, @SenWhitehouse, or Rhode Island SBA Director Mark Hayward a question for tomorrow’s 10am Facebook Live. https://t.co/qTQoI7UlIM"
1245809012769206273,2020-04-02 20:23:09,Will be joined by @SenWhitehouse and @SBAgov tomorrow on Facebook Live to discuss the ways for small businesses to get the resources they need right now. https://t.co/ncPsWG4ZvA
1245733180541370369,2020-04-02 15:21:49,Important to follow @GovRaimondo’s instructions to create a contact tracing journal.  I made my own from copy paper. https://t.co/UbyUVWl1xu
1245732667653533696,2020-04-02 15:19:47,"Thank you to all of our healthcare workers, medical staff, doctors and nurses for your heroic work!!"
1245715164403568643,2020-04-02 14:10:14,"RT @AymanM: Tune in at 10a: Unemployment nearly DOUBLES from last week, deaths from #COVID19 reach close to 5k &amp; a look at big city vs. sma…"
1245712820664250369,2020-04-02 14:00:55,RT @richluchette: Rep Cicilline will be on @MSNBC with @AymanM in the next hour
1245705996707733505,2020-04-02 13:33:48,"• Limit contact - Do your best not to touch any surfaces, and bring your own disinfecting wipes to disinfect touch points.
• If you choose to wear gloves, be sure to dispose of them in a trash receptacle upon leaving the store.  (2/2)"
