id,created_at,text
1247340290127642630,2020-04-07 01:47:54,"@Msanchez81 Good to see you again! If you provided the IarS with your bank account info, they have it. If not, you should!"
1247320343389364224,2020-04-07 00:28:38,@rinjim19 @USNavy @SECNAV Nope. He only sent his email to Navy people.
1247295299321761794,2020-04-06 22:49:07,"There are very few institutions I respect as much as the @USNavy 

The leadership I have witnessed aboard several ships has been incomparable. 

@SECNAV calling Captain Crozier “stupid” to the crew that loved him is the opposite of leadership. Appalling. https://t.co/BKyRhxX3kr"
1246847293535531013,2020-04-05 17:08:54,https://t.co/o8LCQWpndF
1246571558455345155,2020-04-04 22:53:14,In politics this is known as not reading the room. https://t.co/6cBMP0okET
1246512467125166081,2020-04-04 18:58:25,"@ErikthaRed44 Honestly, I pray for you. I don’t understand how someone can respond to a moment of crisis and need with bile and hate. I imagine it’s a lot of hurt to get there. I’m sorry."
1246511461054251010,2020-04-04 18:54:26,@potter_black @xenocryptsite Hudson Hawk
1246483111036289024,2020-04-04 17:01:46,"@MrFelixVulpes Try to uplift, my friend. In times of crisis, that’s what fathers and husbands are called on to do."
1246482043866923012,2020-04-04 16:57:32,"My little sis is a doc in Pittsburgh, tough as nails. She just reached out: “I have always handled crises in hospital, but this is hard.”

We don’t ask for help in the Himes family. I know, not recommending that.

Don’t close today w/out supporting a bunch of people. #COVID2019"
1246451674174164992,2020-04-04 14:56:51,"RT @NatashaBertrand: Late last night, DOJ inspector general Michael Horowitz—who also chairs CIGIE—released this striking statement: “IG At…"
1246450109782667265,2020-04-04 14:50:38,"@Holly2360 @realDonaldTrump Wow. That’s a compelling argument. More importantly, maybe you can clarify. Is it a threat? Because threatening a federal official is a Class C or D felony, usually carrying maximum penalties of 5 or 10 years under 18 U.S.C. § 875, 18 U.S.C. § 876.

I’ll wait."
1246449357383258118,2020-04-04 14:47:39,"@JohnOgd13702236 @realDonaldTrump Hey John! Personal attacks are a sign of weak argument and probably character. Second, I’ve been home, as instructed, working 20 hour days to get information out, secure PPE for my hospitals, and support our first responders. What have you been doing other than spreading poison?"
1246448353510068230,2020-04-04 14:43:40,@taxpayerboss @realDonaldTrump It’s really hard to put the stupidest post up on social media. But you did it! Congratulations.
1246448078770581507,2020-04-04 14:42:34,@gundog_1023 @realDonaldTrump I get so tired of this irrelevant argument. Nobody is arguing that Trump doesn’t have the power to do this. The question is whether it’s the right thing to do. Trump has the power to order a nuclear attack on Switzerland if he wants. But only his acolytes would defend that.
