id,created_at,text
1247229806963458053,2020-04-06 18:28:53,The acting Navy secretary is unfit for office. He should resign or be removed immediately. https://t.co/6hfiIkFQfa
1247218243980443648,2020-04-06 17:42:56,"Our health.
Our economy.
Our rights.

We must care about all three, because each one affects the others."
1246904889030180864,2020-04-05 20:57:46,RT @natashaldaly: BREAKING: A tiger at the Bronx Zoo has tested positive for Covid-19. 6 other tigers and lions at the zoo are also showing…
1246832063749242881,2020-04-05 16:08:23,"RT @RepThomasMassie: Can we put the earmarks, the ass kissing, the cronyism, and the partisan crap aside until this is over?

If Congress w…"
1246624192398872576,2020-04-05 02:22:23,"All things being equal, I’d rather not be ruled by anyone.

Our constitutional republic was established to supplant the Rule of Man with the Rule of Law. https://t.co/wlGnpN4RVc"
1246505020373204995,2020-04-04 18:28:50,"“[T]he knowledge of the circumstances of which we must make use never exists in concentrated or integrated form but solely as the dispersed bits of incomplete and frequently contradictory knowledge which all the separate individuals possess.”
—F.A. Hayek
https://t.co/tQjeHXjnoA"
1246495968880660480,2020-04-04 17:52:52,"@nickexperience I said America needs a new approach, meaning a new approach to governance. That approach would involve adhering to federalism and limits on authority, to empower localities and individuals."
1246493860680945666,2020-04-04 17:44:29,@LailaLalami That’s not capitalism. You’re describing cronyism or corporatism or what some people call corporate socialism or welfare.
1246476299918548997,2020-04-04 16:34:42,"@LibertarianRed1 Adhering to principles is often portrayed as placing ideals above practicality, but the point of principles is to help you make practical decisions when convenience compels you to make impractical ones. Our pushing against convenience subjects us to criticisms that we don’t care."
1246457500364406784,2020-04-04 15:20:00,"@gortok Voting should be made easier, along with other reforms to end discrimination against independent and third-party candidates."
1246316673055051776,2020-04-04 06:00:24,"@HelpGrammar Umm, nope. It’s “historical” in this context. I suspect you’re a bot, but what kind of Grammar Help misplaces punctuation while simultaneously miscorrecting someone’s word choice?"
1246313781199867904,2020-04-04 05:48:55,"@nickexperience There are many factors, some of which are historical or intangible. But size matters a lot. Denmark is like a medium-sized U.S. state, and more homogeneous than most. Moreover, quality of life has subjective aspects, and it’s not clear most Americans would like Denmark’s model."
1246308701063053312,2020-04-04 05:28:44,"@nickexperience There’s an ordered identity called “society,” which is not the same thing as the U.S. government. We need to trust people and benefit from the use of dispersed knowledge."
1246302892404998145,2020-04-04 05:05:39,"@ZaidJilani @alliegoldenpen Denmark can be scaled up only through a system of federalism, as we have in the United States. Federalism doesn’t work, though, when it becomes less about divided powers and more about one-stop shopping for all the needs of the country (i.e., not federalism)."
1246298592219979777,2020-04-04 04:48:34,"@jen_myPsalms182 @LibMuncher That’s not money for congressional salaries. It’s to allow the entire organization, including thousands of staff, to telework. It also funds various contractors who service the Capitol, among other things."
1246296204771831808,2020-04-04 04:39:04,@alliegoldenpen Denmark has a much smaller population than NYC. Central planning consistently fails because of the local knowledge problem: https://t.co/jFoFhIKj92
1246294187890393088,2020-04-04 04:31:04,"@LibMuncher There was no raise. In any case, the 27th Amendment prohibits Congress from changing the pay of representatives and senators until an intervening election."
1246292870623105024,2020-04-04 04:25:50,@GooGwaba Trump signed this bill into law.
1246292615437389826,2020-04-04 04:24:49,"@MertonMyerson I said yes? Weird, then, that both parties would slam me for voting no. https://t.co/Ql1aYNBHZn https://t.co/x0QJxaWxIz"
1246290822393466880,2020-04-04 04:17:41,@LibMuncher What do you mean?
1246288037711052800,2020-04-04 04:06:37,@irizarr2 https://t.co/4Kl2AaOjkZ https://t.co/bZEl44Pfsq
1246285340685590528,2020-04-04 03:55:54,"When confronted with a massive crisis necessitating fast, direct relief to the people, the government chose to create multiple complex programs, expand bureaucratic barriers, and micromanage economic decisions. America needs a new approach that empowers people, not government."
1246267711975501824,2020-04-04 02:45:51,This virus—and the resulting stay-at-home orders—will disproportionately harm lower income Americans. Congress took the wrong approach with the last bill. We need to quickly get monthly cash relief to the people. https://t.co/PBBl9Wnjm6
1246197131423211522,2020-04-03 22:05:24,There’s about as much independent thinking here as there is in Congress. https://t.co/o3cgVN6tVU
1246178886368595968,2020-04-03 20:52:54,"Oh, the people know exactly whom that law was written to benefit and who was handed crumbs. When it comes to helping most Americans, your attitude is “too small to care.” https://t.co/9CxFtoUEx4"
