id,created_at,text
1247253252367880194,2020-04-06 20:02:02,"#InItTogether Thank you to our hardworking lab professionals and public health teams. You are all an essential part of testing and keeping our communities safe. Your work does not go unnoticed, and Arkansas is incredibly grateful. #AR3 https://t.co/zuYKId8bzU"
1247211593160708096,2020-04-06 17:16:30,"The #PaycheckProtectionProgram is accepting applications.

➡️#SmallBusinesses and sole proprietorships can apply NOW.

➡️Starting April 10, 2020, independent contractors and self-employed individuals can apply.

➡️Contact your lender or learn more: https://t.co/yVzaKaGLYO https://t.co/nyYeDUq8df"
1247150749282381826,2020-04-06 13:14:44,RT @AsaHutchinson: (3/3) I encourage all Arkansans to join me in following @CDCgov guidelines &amp; wearing a mask when you are not able to soc…
1247150712003452931,2020-04-06 13:14:35,RT @AsaHutchinson: (2/3) I appreciate @EntergyArk for its support of the new COVID-19 Relief Fund and for announcing at today's news briefi…
1247150697872855042,2020-04-06 13:14:31,"RT @AsaHutchinson: (1/3) This crisis has placed hardships on many, but Arkansans have been incredibly responsive to the needs of others. I'…"
1246914921683705861,2020-04-05 21:37:38,"RT @SBAgov: The #CARESAct has established new programs to help small businesses impacted by #COVID19 including:
1️⃣ Paycheck Protection Pro…"
1246815552649211905,2020-04-05 15:02:47,"I wanted to share this moving poem by Shirley McDonald of Springdale. We are facing a great challenge as a nation, but we will weather this storm together.

""We cannot fret and worry, but strong we all must be, because we are Americans and by God’s grace we are free."" https://t.co/VR9xeFPDun"
1246520776905367553,2020-04-04 19:31:27,"RT @SBAgov: 4️⃣ #CARESAct funding options to help your #smallbusiness during #COVID19:  
▶️Paycheck Protection Program 
▶️$10K Economic Inj…"
1246519099427041284,2020-04-04 19:24:47,RT @realDonaldTrump: America owes our very hard working food supply workers so much as they produce and deliver high quality food for us du…
1246142349668945920,2020-04-03 18:27:43,#InItTogether: It doesn't stop there! Dan Wolken and his team in #SiloamSprings have also repurposed one of their production lines to create masks for NWA healthcare and medical professionals! They have sourced materials to produce thousands of these #PPE items! #AR3Strong https://t.co/hc3jWVwH0s
1246142348951781382,2020-04-03 18:27:42,#AR3Strong Glatfelter in Fort Smith is also working with Rockline Industries to produce sanitizing wipes for Fort Smith healthcare providers and hospitals. Another great example of local companies lending a helping hand. https://t.co/kMfkuZT6D8
1246142348104470530,2020-04-03 18:27:42,"#InItTogether: People across #Arkansas continue to give back to our community. Pradco of Fort Smith has produced thousands of shields and masks for local hospitals, healthcare workers, and nursing homes. They are also using their manufacturing line to create hand sanitizer."
