id,created_at,text
1247273606943473665,2020-04-06 21:22:55,"Un mensaje de la Oficina del Representante Emanuel Cleaver II sobre la pandemia del COVID-19. 
Video completo -&gt;https://t.co/zbdEQdsZmQ https://t.co/gxG5obZfc4"
1247257754315689987,2020-04-06 20:19:56,"You can find more info on the bill here:
https://t.co/JqYDRmBUQW{%22search%22:[%22angie+craig%22]}&amp;r=1&amp;s=5&amp;searchResultViewType=expanded&amp;KWICView=false"
1247257753221038094,2020-04-06 20:19:55,"I completely agree. That's why I’m cosponsoring a bipartisan bill to fix to this terrible oversight. We must ensure that our dependent students get some much-needed economic relief, and I will continue fighting for just that. https://t.co/GatOR5xBsQ"
1247200257332719616,2020-04-06 16:31:27,"After the 2008 crisis, 3.5 million Social Security beneficiaries and veterans did not receive their stimulus payments because of bureaucratic red tape. Over 120 of my colleagues and I urged the Trump admin not to make the same mistake during the #COVID19 Crisis. https://t.co/dBUL6cslSt"
1247189182310735872,2020-04-06 15:47:27,"RT @SBAgov: #DidYouKnow small businesses impacted by #COVID19 can get a loan advance of up to $10,000? The loan advance does not need to be…"
1247183397371482119,2020-04-06 15:24:28,"Democrats are fighting to ensure that workers across America are protected during this public health crisis. We will continue to fight for common sense unemployment insurance that helps Americans weather the storm.
https://t.co/QGVvehKcXO"
1246519103692701696,2020-04-04 19:24:48,"Today and every day, we honor the legacy of Dr. Martin Luther King Jr. by continuing his lifelong fight for justice and equality for all.
 
#RestInPower https://t.co/XlfsQLzmxV"
1246160842187583500,2020-04-03 19:41:11,"This public health crisis underscores a simple truth:
 
Where you live shouldn’t determine your access to internet. Our students, workers, and families need Congress to invest in expanding high-speed broadband access immediately! https://t.co/sIz6Yzc0RC"
1246142885361303555,2020-04-03 18:29:50,"When we passed the bipartisan #CARESAct, Congress made $350 billion in forgivable loans and $10 billion in grants available to small businesses and nonprofits. Find how you can access these funds here:
https://t.co/qcgOdy5Iws"
1246138859714461698,2020-04-03 18:13:50,Community Health Centers are on the frontlines of the fight against the #coronavirus. We need to make sure they have the tools they need to succeed. #FamiliesFirst https://t.co/LC96TCVpt4
1246125879069212673,2020-04-03 17:22:16,"RT @CDCgov: To slow the spread of #COVID19, stay at home except to get groceries, medications, or other essentials. Avoid outings you don’t…"
1246118453620211715,2020-04-03 16:52:45,"During times of crisis, people turn to faith to see them through the storm.
 
This month, let us come together to pray for our healthcare workers, the wisdom to guide our nation through this pandemic, &amp; the strength to lift up the vulnerable populations facing economic strain. https://t.co/Dh1ESnyTur"
1245813039267565572,2020-04-02 20:39:09,"We have to support @GoIUPAT and construction workers across the country by demanding Congress ensure health care, retirement, and a bold investment in infrastructure. In the 4th recovery bill, we must put #WorkersFirst.
 
RT if you agree!"
1245785982311563266,2020-04-02 18:51:38,"These numbers are staggering, and why Democrats fought so hard to beef up unemployment insurance in the CARES Act. It’s critical that we continue to get aid to communities ASAP. Also clear we need to prepare for the 4th phase of #coronavirus relief right now. https://t.co/NsC1uftVjS"
1245762878218608640,2020-04-02 17:19:49,"Good to see the administration come to their senses.  We need to get this money out as quickly and as simply as possible. This should help.
https://t.co/6kJsbjZUi1"
1245076964546940930,2020-03-31 19:54:15,"This global crisis has shown us what we already knew: We are nothing without our workers.
 
This #CesarChavezDay, let us thank and honor our nation’s workers—especially those on the frontlines of this public health crisis. https://t.co/oCYCD1TDCC"
1245067726240055296,2020-03-31 19:17:32,"I’ve also put together some resources and Frequently Asked Questions (FAQs) for constituents here:
 
https://t.co/ucrauWFcjK
 
and here:
https://t.co/Y9WjRSZ6Ma"
1245053151218196481,2020-03-31 18:19:37,"If you’re a small business seeking help with federal small business loans, I’ve compiled some resources here:
https://t.co/FNq8oFj2S4"
1245053150291283968,2020-03-31 18:19:37,"As our nation grapples with the #coronavirus pandemic, I want you to know I'm here to help as your representative. If you have any questions or need any help with a federal agency, you can always call my office or send an email here:
https://t.co/YapnAAM6nv"
