id,created_at,text
1247340543350321153,2020-04-07 01:48:54,"This afternoon, I held a conference call to connect with my Agriculture Advisory Committee, with representatives from all 11 counties in #NY19, where we discussed how farmers are coping with #COVID19. These conversations continue to inform my advocacy for our local producers."
1247285901148946432,2020-04-06 22:11:46,"This Thursday I’m holding my fourth telephone town hall as our community confronts the #Coronavirus. These forums are an opportunity for folks from across #NY19 to ask questions, hear from local officials, health experts and more. Hope you’ll join us. https://t.co/gbx441h2FU"
1247228304123400193,2020-04-06 18:22:54,"On Friday, I held my third telephone town hall focused on our #COVID19 in our community, and the resources available to folks. Find more information about our panelists and the full audio here: https://t.co/zPASAqjWAF"
1247164965410074627,2020-04-06 14:11:13,"Today begins #NationalPublicHealthWeek, and I extend my thanks and heartfelt gratitude to our doctors, nurses, nurse practitioners, and everyone working around the clock in our hospitals and testing facilities across #NY19. You are our heroes."
1246923299084533760,2020-04-05 22:10:55,"The CARES Act includes a number of new provisions for small businesses, farmers and our community as we cope with the #COVID19 outbreak. Visit the resource pages on my website to learn more: https://t.co/UqjLnsjlkx"
1246879444909907972,2020-04-05 19:16:40,"This is incredibly positive news. My prayers remain with @SenatorSeward, his family and loved ones. https://t.co/2lfxAtE6Sr"
1246854790874828806,2020-04-05 17:38:42,"Our small businesses are vital to our local economy, they're owned by our families &amp; friends, &amp; create jobs here in upstate NY. Read my op-Ed in @RecordOnline on support for small biz in the bipartisan CARES Act: https://t.co/wCbl10BVTO"
1246810939766292480,2020-04-05 14:44:27,Read my joint statement in response to the Governor's executive order to move needed ventilators from our upstate communities: https://t.co/W79lzPTnAG https://t.co/MuZ7D9xeG7
1246564847669608449,2020-04-04 22:26:34,The @CDCGov is now recommending Americans wear cloth face masks when you go outside for essential travel. Find the updated guidance here: https://t.co/5mBGv7dyPk
1246510446607241220,2020-04-04 18:50:24,"The bipartisan CARES Act includes many new measures to help our community as we work through the COVID-19 pandemic together. To help answer your questions, my office has put together a resource guide. ⟶ https://t.co/1091vRehse"
1246476247112261638,2020-04-04 16:34:30,"Last night, I held my third telephone town hall on the Coronavirus. Thank you to everyone who called in both to ask questions and join our community conversation. Find the full audio here: https://t.co/BU58qRzx7Y"
1246225122513600518,2020-04-03 23:56:37,Thank you to our brave #NY19 first responders who continue to risk your health for the safety of others. I am grateful for your service to our upstate communities. https://t.co/HBlBt6Dolg
1246120546389065730,2020-04-03 17:01:04,"ICYMI--I led a letter to @SBAJovita w @RepBrindisi &amp; @RepJoshHarder, urging the Small Business Administration to allow our small farmers coping with the #Coronavirus pandemic to access immediate assistance through the Economic Injury Disaster Loan Program. https://t.co/RmsSwa3Pn6 https://t.co/wNrJXZbpYd"
1246100638322262017,2020-04-03 15:41:58,"I’m holding my third telephone town hall tonight at 5:00 p.m. focused on the #Coronavirus pandemic. Call 855-905-3295 to listen in, ask questions, and get connected to community resources. Hope you’re able to join us. https://t.co/hW5BltcbQo"
1245842719144116231,2020-04-02 22:37:05,"Our small farmers in #NY19 need access to immediate #COVID19 relief. Today, I, along with @RepBrindisi &amp; @RepJoshHarder, led a bipartisan letter with 86 members urging @SBAgov to allow small farmers access to needed economic injury loans &amp; grants. https://t.co/RmsSwa3Pn6"
1245830559793848320,2020-04-02 21:48:46,Do you own or operate a small business in #NY19? My office has put together a resource page on my website to help connect folks with information as we navigate the #COVID19 pandemic together. https://t.co/MKcatyZ7aH
1245782590193315841,2020-04-02 18:38:09,"#NY19 veterans, @DeptVetAffairs is expanding virtual services to support our veterans during the #COVID19 pandemic. This includes virtual briefings and individualized counseling for transitioning service members.  https://t.co/5EOodVFKuY"
1245734014679384064,2020-04-02 15:25:08,SPREAD THE WORD: I’m holding my third telephone town hall on #Coronavirus tomorrow evening. Call 855-905-3295 at 5:00 p.m. to join our conversation and get connected with resources as we work to confront the COVID-19 outbreak together. #NY19 https://t.co/1CLfMVrwuo
1245445336459608064,2020-04-01 20:18:02,April 1st is Census day! Take 10 minutes today to fill out the 2020 Census to ensure that our community receives the resources and representation we need. Your personal information is kept confidential and only used for statistical purposes. Find out more: https://t.co/JZlVpUmvud https://t.co/dhM3Z48cla
1245378043226587138,2020-04-01 15:50:38,"This Friday, I’m holding my third weekly telephone town hall to hear from our community as we work through the #COVID19 pandemic together. Call in at 5:00 p.m. where I’ll be joined by local elected officials &amp; health experts. More details here:  https://t.co/3CplKSgh12 https://t.co/XnkrRtygbK"
1245360485702254594,2020-04-01 14:40:52,"This is a confusing time for our entire community. My office has put together a resource guide to answer your questions and help folks access the benefits available in the most recent federal emergency relief bill, the CARES Act. https://t.co/1091vRehse"
1245103626118475779,2020-03-31 21:40:12,.@SBA_NewYork has a new EIDL application site. Find our more information about how and where to apply here: https://t.co/DrsjjzvWf5
1245031243701501954,2020-03-31 16:52:34,My office has put together a resource guide to share #COVID19 guidance &amp; materials from across the federal govt. If you have additional questions please reach out to my office as we work to answer your Qs &amp; serve as a resource during this challenging time. https://t.co/Hzbq7rY0uO
1244993597507805184,2020-03-31 14:22:59,HAPPENING THIS FRIDAY: I am holding my third weekly telephone town hall to answer questions and connect folks with resources as our community navigates the #Coronavirus pandemic together. Call into 855-905-3295 at 5:00 this Friday to join us. https://t.co/3CplKSgh12
1244750454527057927,2020-03-30 22:16:49,My office is sending updates to share the latest guidance from the CDC and resources from the federal government. Sign up for these updates here: https://t.co/IvJ3rfvc7y https://t.co/DQLNGWO2OH
1244669401959366658,2020-03-30 16:54:44,I am holding weekly telephone town halls to stay connected to all 11 counties in #NY19. Do you have a question about the bipartisan emergency relief legislation passed by the House last week &amp; signed into law by the President? Call in this Friday at 5 pm: https://t.co/3CplKSgh12
1244624129757716485,2020-03-30 13:54:51,"Tune in, I’m joining @BrianLehrer on @WNYC this morning at 10:00 a.m. to discuss what the bipartisan CARES Act means for #NY19 and the importance of ensuring our small businesses and farmers have the support they need throughout the #Coronavirus pandemic. https://t.co/H5uRCgKVQ0"
1244358563503407106,2020-03-29 20:19:35,"The #COVID19 pandemic presents new challenges for everyone in our community and my office is here to help. We've set up a phone appointment tool to connect folks with constituent service representatives while respecting social distancing measures. 
https://t.co/1P03q6QLaS"
1244306700615716865,2020-03-29 16:53:30,"The @CDCgov has created an app to help people determine if they have #Coronavirus. Find out more and download the app here: 
https://t.co/JNi6dFsr22"
1244277295201820672,2020-03-29 14:56:39,The President has now signed the bipartisan legislation that passed the Senate and House. Learn more about how the provisions included in this legislation will assist our #NY19 family farmers &amp; small businesses: https://t.co/lwJcxYTc6o
1244048699908665344,2020-03-28 23:48:18,"Do you operate a small business in #NY19? Congress passed &amp; President signed into law, legislation that allows our small businesses to gain access to loans, grants &amp; important resources for our #NY19 community. Find more info on my office’s resource page: https://t.co/MKcatyZ7aH"
