id,created_at,text
1247234250165956609,2020-04-06 18:46:32,"Dr. @AnneZinkmd is a champion for public health, and central to our ability to fight COVID-19. I’m collecting thank you notes for her and I wanted to highlight some of them. Read what Julieanna from Palmer has to say, and click here to send your own note: https://t.co/kSqlVmaL8v https://t.co/gj0KG8XEfE"
1246236457850855424,2020-04-04 00:41:40,RT @cindyharris2141: Thank you @lisamurkowski @SenDanSullivan @repdonyoung for your continued support to # ENDALZ https://t.co/aD8hXt2GQW
1246218880701403136,2020-04-03 23:31:49,"RT @repdonyoung: I invite all Alaskans to take a moment to visit my website to compose and submit a thank you note. In the coming weeks, I…"
1246218872493146118,2020-04-03 23:31:47,"RT @repdonyoung: In Dr. Anne Zink, Alaskans have a champion for public health, and the tireless round-the-clock efforts of her and her staf…"
1246116091581075459,2020-04-03 16:43:22,"Today, @lisamurkowski, @SenDanSullivan, and I announced that over $144 million in emergency COVID-19 relief, created by the CARES Act, is headed for Alaska! This funding from @FTA_DOT is yet another tool we'll use to keep families healthy. Read more here: https://t.co/WqzWcZ0lTQ https://t.co/sMmCuoaavD"
1245727901217161217,2020-04-02 15:00:50,"🚨Important info for Alaskans🚨

PFD offices have been closed due to the ongoing COVID-19 outbreak.

The PFD filing deadline has been EXTENDED to April 30, 2020.

Click here to read more: https://t.co/q498OWDjf4 https://t.co/2CJJ9P6db3"
1245405671996170240,2020-04-01 17:40:25,"In order to slow the spread of COVID-19 and save lives, we all must do our part. Practice social distancing, stay home, wash your hands frequently, and follow all other CDC guidelines. SHARE these helpful reminders to help keep our communities safe. https://t.co/M89p5h0b49"
1245058950233567232,2020-03-31 18:42:40,"I invite all Alaskans to take a moment to visit my website to compose and submit a thank you note. In the coming weeks, I will be compiling all of the thank you notes for delivery to Dr. Zink and her team. Click here to join me in saying “THANK YOU!” ➡️ https://t.co/kSqlVmaL8v"
1245058948014772230,2020-03-31 18:42:39,"In Dr. Anne Zink, Alaskans have a champion for public health, and the tireless round-the-clock efforts of her and her staff have been critical in helping to control the spread of COVID-19. I want Dr. Zink to know just how grateful Alaskans are for everything they do. https://t.co/CM7O5WDRdu"
1244779408751308802,2020-03-31 00:11:52,"RT @GovDunleavy: Tonight at 5pm I’ll be joined by @repdonyoung, @SenDanSullivan, @lisamurkowski &amp; AK public health officials to give an upd…"
1244779393261735941,2020-03-31 00:11:48,"RT @SenDanSullivan: I’ll be joining @GovDunleavy, Dr. Anne Zink, @LisaMurkowski &amp; @RepDonYoung for the Governor’s daily press briefing on t…"
1244686571930075138,2020-03-30 18:02:58,"#NationalDoctorsDay is especially important this year as our nation continues the fight against the COVID-19 pandemic. Doctors are on the front lines, risking their lives to keep our families healthy, and our communities safe. RETWEET to thank our doctors! https://t.co/4DQlhDJO7A"
1244337412173676545,2020-03-29 18:55:32,"RT @SenDanSullivan: .@LisaMurkowski, @RepDonYoung &amp; I penned an op-ed regarding our efforts in DC to protect the health &amp; well-being of AKn…"
1244322949500416001,2020-03-29 17:58:04,"On National Vietnam War Veterans Day, we honor all who served in the Vietnam War and remember those who never returned home. May God Bless them! https://t.co/JT0QLYuzS8"
1244283546019213312,2020-03-29 15:21:29,"This is a challenging time for Alaskans, but we’ll get through this together. @lisamurkowski, @SenDanSullivan, and I penned an op-ed to update Alaskans on what we’re doing in Congress to turn the tide in the COVID-19 pandemic. Read it here: https://t.co/DTALickEzA via @adndotcom"
1243648543447007233,2020-03-27 21:18:13,"The CARES Act also provides needed support for our Native communities by providing funding to help health care providers, schools, and communities mitigate the impacts of COVID-19. Click here to learn more: https://t.co/pBqSdvOHgv"
