id,created_at,text
1246222277349343235,2020-04-03 23:45:19,"As the coronavirus outbreak continues, I am sharing some resources that may be helpful to you and your family regarding –

Travel Alerts 
School Meals in Metro Atlanta
Distance Learning Resources
Managing Student Debt; and 
Staying Calm and Centered

https://t.co/vU5i4YrkEn"
1245755970912911368,2020-04-02 16:52:23,"Please be advised, the U.S. Department of State has issued an updated Level 4 Do Not Travel Global Health Advisory and is urging that all Americans who want to return to the United States should seek to do so immediately.
https://t.co/zK0aEWDiBM"
1245037149059256329,2020-03-31 17:16:02,"RT @apsupdate: Last call! APS families have until Tuesday, March 31 at 5 p.m. to contact your child’s school to request a device. The last…"
1244736762179715072,2020-03-30 21:22:24,"As a community, we can beat this pandemic. It is very important that everyone remains healthy, calm, and positive by following guidance and safety precautions from the health professionals and local authorities. https://t.co/g3N76KPlre"
1236392740717543424,2020-03-07 20:46:15,"55 years ago today, we were beaten, tear gassed, and trampled by horses. I thought I saw death. I thought I was going to die. I don't know how I made it back, but I know we cannot rest. We cannot become weary. We must keep pushing and pulling and find a way to get in the way. https://t.co/gg6n1CyJls"
1234277472776183810,2020-03-02 00:40:55,"We were beaten, we were tear-gassed. I thought I was going to die on this bridge. But somehow and some way, God almighty helped me here. We cannot give up now. We cannot give in. We must keep the faith, keep our eyes on the prize. https://t.co/eOw9uMYAAL"
1230942501198012418,2020-02-21 19:48:56,Thank you for all of the kind birthday wishes. Each day on earth is a gift we must use to continue building the Beloved Community.
1225913860319776770,2020-02-07 22:46:55,RT @HIVMA: Only 50% of Americans w/ HIV are benefiting from HIV treatment. A bill introduced by @repjohnlewis today on National Black HIV/A…
1225913803046559745,2020-02-07 22:46:41,"RT @IDSAInfo: A new loan repayment bill introduced by @repjohnlewis today will boost the # of #HIV healthcare workers in the US, ensuring t…"
1225908404989894659,2020-02-07 22:25:14,"75% of Fulton County’s new #HIV diagnoses are African Americans. On #NBHAAD, I introduced the HELP Act for loan repayment relief for HIV clinicians and dentists. We need more clinicians to End the Epidemic. #HELPHIVWorkforce #EHE"
1215316520303300608,2020-01-09 16:56:52,RT @WaysMeansCmte: #NEWS: Chairman @RepRichardNeal and @RepJohnLewis call for appointment of permanent National Taxpayer Advocate: https://…
