id,created_at,text
1247269174977716229,2020-04-06 21:05:19,"RT @WhiteHouse: NEXT: The Coronavirus Task Force will hold a briefing.

Watch live: https://t.co/EmsdctGWtd https://t.co/QAoOHpWiyN"
1247189083820118016,2020-04-06 15:47:03,"Helpful links for #TX01

Food distribution resources: https://t.co/Fjg8PqZpmW

Small business assistance: https://t.co/PGH4YVMap0

Economic impact payment information: https://t.co/iT56TEXS3Y"
1247179077276049408,2020-04-06 15:07:18,Surgeon General  Dr. Jerome Adams demonstrates how to create your own face mask: https://t.co/Zs8aPh3Mgr #COVID19
1246798883906293760,2020-04-05 13:56:32,"They took palm branches and went out to meet him, shouting, ""Hosanna!"" ""Blessed is he who comes in the name of the Lord!"" ""Blessed is the king of Israel!"" — John 12:13 #PalmSunday"
1245818180414722049,2020-04-02 20:59:35,"RT @WhiteHouse: NEXT: Members of the Coronavirus Task Force brief the press 

Watch LIVE: https://t.co/EmsdctGWtd https://t.co/9wyVYlD0Or"
1245732536489312257,2020-04-02 15:19:15,RT @texasgov: We’ve created a special page with helpful resources for Texans dealing with the impact of COVID19. Just go to: https://t.co/c…
1245454727015469057,2020-04-01 20:55:21,"RT @WhiteHouse: Today's Coronavirus Task Force briefing is up next.

Watch LIVE here: https://t.co/EmsdctGWtd https://t.co/eR76jCwry5"
1245395616689258496,2020-04-01 17:00:28,Here are some helpful links for #TX01 small business assistance during this difficult time: https://t.co/vD1AhimOK8 #COVID19
1245391757929562112,2020-04-01 16:45:08,Calling in to @toddstarnes' radio show this afternoon at 1:30PM CENTRAL. Listen online here: https://t.co/FpqVP93gpP
1245364507385479168,2020-04-01 14:56:50,RT @uscensusbureau: Today is Census Day! Help us spread the word about the importance of the #2020Census. Make this image your profile pict…
1245101677335756801,2020-03-31 21:32:27,RT @CBNNews: White House Update on the COVID-19 Outbreak in the US https://t.co/7HSaCTxCmY
1245074672875642880,2020-03-31 19:45:09,"The Treasury Department &amp; Internal Revenue Service announced that distribution of economic impact payments will begin in the next three weeks &amp; will be distributed automatically, with no action required for most people. More info: https://t.co/hC2DrC46Gp"
1245052027484471297,2020-03-31 18:15:09,Today at 2pm CT ==&gt; Texas Gov. Greg Abbott is answering questions and providing an update on the efforts #Texas officials have made in response to COVID-19: https://t.co/gFOexxeP2F
1245033240336969729,2020-03-31 17:00:30,For #COVID19 food assistance in #TX01 please check out this list of helpful organizations providing aid during this difficult time: https://t.co/0c43deWM8S
1245016273660121088,2020-03-31 15:53:05,RT @SocialSecurity: Check out this important update from #SocialSecurity on the #COVID19 pandemic. https://t.co/QaAO5rkmZ5 https://t.co/zv1…
1245000490787770371,2020-03-31 14:50:22,#TX01 Brookshire Grocery Company staying open Easter to serve community https://t.co/gBOBQl0gT7
1244678376419463177,2020-03-30 17:30:24,Listen in to @PointofViewRTS today at 2:15PM CENTRAL. Will talk to @KerbyAnderson re: current events around the country and more. Listen to the show here: https://t.co/p6y2frBzjz
1244663866245763073,2020-03-30 16:32:45,"Today is #NationalDoctorsDay! Thank you to the medical professionals who work tirelessly to save lives every single day and keep Americans healthy.  

#ThankADoctor today!"
1243576907393884161,2020-03-27 16:33:33,"“I spent much of the night reviewing all the sunsets in the bill. I’m satisfied that most of them will prevent most of the waste..."" #coronavirus #COVID19 https://t.co/yognwlutI2"
1242828979192631297,2020-03-25 15:01:33,"""In this time of great challenges as we steer our way through the difficult issues the #Coronavirus has caused, please be concerned, but also understand that fear itself creates more problems ...""  VIDEO ADDRESS: https://t.co/1qBHgGyLTK"
1241005563548401664,2020-03-20 14:15:57,"RT @stevenmnuchin1: At @realDonaldTrump’s direction, we are moving Tax Day from April 15 to July 15. All taxpayers and businesses will have…"
1240715312120520706,2020-03-19 19:02:36,RT @RMConservative: Today's show @BlazeTV Rep. @replouiegohmert  Calls Out the Bipartisan Mistakes in #Coronavirus Response https://t.co/qR…
1240647917892972544,2020-03-19 14:34:48,"In response to #COVID19, many taxpayers can delay tax payments to the #IRS until 7/15/2020 without penalties or interest. File a return or request a filing extension by April 15. No additional filing is necessary for the payment extension: https://t.co/0mMrhE7cbc"
1240326530280161281,2020-03-18 17:17:43,ICYMI: Talked to @KETK last night on their #CoronaVirus special coverage newscast. You can watch the full show via the link below. https://t.co/BuFoJ17Lil
1239937423859232769,2020-03-17 15:31:33,Calling into The @WilkowMajority TODAY at 12:40PM CENTRAL. We'll discuss the Coronavirus bill and more. Listen in to @SiriusXMPatriot this afternoon!
1239723250369863680,2020-03-17 01:20:30,"ICYMI: Spoke on the House Floor re: technical changes made to H.R. 6201, the ""Families First Coronavirus Response Act."" https://t.co/2u9ktkUvbf"
1239697344637083650,2020-03-16 23:37:34,"RT @LouDobbs: FISA Failure: @replouiegohmert says the House FISA reform bill is dangerous, embarrassing &amp; does nothing to prevent @POTUS fr…"
1239674585789988867,2020-03-16 22:07:07,Joining @LouDobbs tonight on @FoxBusiness! Tune in at 6pm CENTRAL. #Coronavirus
1239648959699865601,2020-03-16 20:25:18,I cannot read the changes to a bill that haven’t been written yet. https://t.co/XY2e1Eg2cO
1239625408317992960,2020-03-16 18:51:43,"My constituents did not elect the California delegation to represent them, they elected me—and that’s what I am trying to do. I will not give my consent without first reading these very serious changes ... https://t.co/phTTZlg6mN"
1239617728043982848,2020-03-16 18:21:12,I'd like to know how I'm holding up a bill from going to the Senate that hasn't been written yet? Most Senators are not even back in DC yet. #FakeNews
1239606432078729219,2020-03-16 17:36:18,We still do not have a final draft of the negotiated changes being called ’technical corrections’ and some of us believe that the newly worded laws should be finished before we pass them. #CoronaVirus
1239562428331036673,2020-03-16 14:41:27,"The @DeptVetAffairs has created a new website specifically designed to answer #veterans questions re: #coronavirus. Visit the website, here: https://t.co/KQCV1kNwh7"
1238925468151283713,2020-03-14 20:30:24,"Here's my full statement on H.R. 6201, ""Families First #Coronavirus Response Act"": https://t.co/dQSEhbe3ky"
1238871589241917440,2020-03-14 16:56:18,.@realDonaldTrump The Real Reason Why 40 Republicans Voted Against the Second #Coronavirus Bill https://t.co/iY1pRNK8ok via @pjmedia_com
1238828302007238656,2020-03-14 14:04:18,"“This is no way to handle billions and billions of dollars when we are trying to help people; and, we don’t even know whether we will help them or hurt them.” #CoronaVirusResponseAct
https://t.co/jHFMA2qw6M"
1238608623703556096,2020-03-13 23:31:22,"RT @realDonaldTrump: It is my great honor to declare Sunday, March 15th as a National Day of Prayer. We are a Country that, throughout our…"
1238485883835351043,2020-03-13 15:23:39,"RT @RudyGiuliani: ”This coronavirus came from China. 

That’s not racist. That’s just a fact. 

It’s critical to study &amp; understand where t…"
1238480352617943040,2020-03-13 15:01:40,"RT @realDonaldTrump: I will be having a news conference today at 3:00 P.M., The White House. Topic: CoronaVirus!"
1238228250771501056,2020-03-12 22:19:54,"Here’s my full statement re: #Covid_19: https://t.co/6hIvIl7vkX

#CoronaVirusUpdate"
1238136611289927680,2020-03-12 16:15:46,RT @SteveScalise: Pelosi wasted the whole week behind closed doors drafting a partisan bill full of liberal fantasies that have nothing to…
1237893590539362304,2020-03-12 00:10:05,"TONIGHT ==&gt; Will co-host along with @RAMansour ""Breitbart News Tonight"" from 8-11PM CENTRAL. We'll discuss #FISA re-authorization, China, #COVID19 &amp; react to @realDonaldTrump's speech from the Oval Office. Listen in to @SiriusXMPatriot!"
1237839653090119680,2020-03-11 20:35:45,"""Any law based on a lie has a good chance of being a problem ... we need to fix the #FISA court and this doesn't do it."" #FISAReforms https://t.co/ZT9U1HDPH3"
1237793287676792839,2020-03-11 17:31:31,"RT @EpochTimes: “The FISA Court has been aggressively used to go after not only individuals, but as a way to get at a presidential campaign…"
1237793099008675841,2020-03-11 17:30:46,"RT @FreedomWorks: 🚨 BREAKING: @freedomcaucus opposes WEAK #FISA reforms.

Real Reform or Bust. #ampFW"
1237757976640991237,2020-03-11 15:11:12,"RIGHT NOW: House Judiciary Full Committee Markup on the Domestic Terrorism Prevention Act and the Not Invisible Act. Watch, here: https://t.co/UXu5NBMFJB"
1237729449786904577,2020-03-11 13:17:51,"RT @JanJekielek: 🔴NEW VIDEO: https://t.co/0lxtw0hUXO

“The FISA Court came into being [with] legislation back in the ‘70s… We went for deca…"
1237432199420526593,2020-03-10 17:36:41,"On the phone right now with the @toddstarnes show! We are discussing the #coronavirus and more. Listen to the interview, here: https://t.co/QZvPNcYXSn"
1237384898509447168,2020-03-10 14:28:43,"RIGHT NOW: House Natural Resources hearing re: ""Examining the Spending Priorities and Missions of the U.S. Forest Service and the Bureau of Land Management."" Watch, here: https://t.co/YNCxQpH1vD"
1237141077297180672,2020-03-09 22:19:52,Congressman Gohmert's full statement on #COVID19: https://t.co/jv9XcNfwbv
1237134024965054464,2020-03-09 21:51:51,"He said he would return if he were me and advised that my staff and I should just be careful to observe proper hygiene protocols. I took the advice of the expert and returned to work. No one is panicking and we are observing the recommended precautions."" (3/3)"
1237134023606108161,2020-03-09 21:51:50,"After CDC physician called me Sunday evening, and we discussed all the specific circumstances of which he was aware along with my circumstances, including that I was and am asymptomatic, he said that all things considered, I was cleared to return to Washington. (2/3)"
1237134022414938112,2020-03-09 21:51:50,"""Saturday night, I got a call from the House physician advising that I had possibly been exposed to the COVID-19 virus at CPAC on February 27th, and that a top CDC physician in Atlanta would call me to discuss what should be done going forward. (1/3)"
1236060057256812544,2020-03-06 22:44:17,"RT @CPAC: ICYMI @replouiegohmert joined us at #CPAC2020 to remind conservatives that ""we need to not only secure the border but we need to…"
1236042742830174208,2020-03-06 21:35:29,"RT @SebGorka: .@SenSchumer is a liar.

@replouiegohmert on Schumer's lame excuse for his threats against the Supreme Court, on #AMERICAFirs…"
1236033881180119042,2020-03-06 21:00:16,"RT @SebGorka: .@replouiegohmert joins meNEXT on the @SalemMediaGrp Radio Network

WATCH #AMERICAFirst : https://t.co/x2jE4Mheco https://t.c…"
1236028808228147200,2020-03-06 20:40:06,Calling in to #WashingtonWatch today at 4pm CENTRAL. Talking to Tony Perkins about Senate Minority Leader Chuck Schumer's #SCOTUS comments. Listen: https://t.co/zRscLTkMei
