id,created_at,text
1247234160743387136,2020-04-06 18:46:11,"Fewer cars on our roads means fewer automobile accidents. Today, @Allstate announced they are returning 15% of drivers’ premium amounts for the months of March and April, totaling $13.7 million for 238,000 South Carolinians. I hope this is the beginning of a trend. https://t.co/MMOlrl0tLI"
1247209212045930496,2020-04-06 17:07:02,All impacted small business owners should be able to participate in the Paycheck Protection Program. The Fed needs to find a solution to help Wells Fargo serve their clients for the duration of this crisis. Millions have already lost their jobs; this program has to work. https://t.co/7XZjMy25tA
1247175753550180352,2020-04-06 14:54:05,RT @SenatorTimScott: Questions about the new cloth mask guidance for #covid19 #Coronavirus? @CDCgov provides answers and some helpful tips…
1246579251584827392,2020-04-04 23:23:48,"I joined @RepHarley in requesting that the @FCC and @TheJusticeDept take immediate action to combat #COVID19 scams. If you have questions or something seems suspicious, you can also visit @fema’s Coronavirus Rumor Control page for more information: https://t.co/oesdS6bhxK https://t.co/tn042boseI"
1246164518394310658,2020-04-03 19:55:48,"RT @ModernizeCmte: Although staying at home and flattening the curve is important to save lives during #Covid_19, committee member @RepTimm…"
1246126566771429376,2020-04-03 17:25:00,"Small businesses can now apply for the Paycheck Protection Program. These federally-guaranteed loans will help keep workers paid and can be forgiven if used for payroll, mortgage, rent, and utilities during this crisis. Apply today at https://t.co/wMNN0O4YjX. https://t.co/IJR0zxzHpm"
1246099670272815105,2020-04-03 15:38:07,RT @SBAgov: #COVID19 UPDATE: Small businesses can now apply for the #PaycheckProtectionProgram. The program is designed to keep small busin…
1245863248236142595,2020-04-02 23:58:40,"I know there are a lot of folks in the Upstate who have questions about unemployment and where they go from here. My team and I have put together helpful links, information, and answers to frequently asked questions regarding unemployment. 
https://t.co/6FtZQNwqL2"
1245784328392585217,2020-04-02 18:45:04,#IRS and @USTreasury announced that Social Security recipients will automatically receive the economic impact payments. See details at: https://t.co/MD0k67PsRf #COVIDreliefIRS
1245773767416197120,2020-04-02 18:03:06,People not typically required to file a tax return can still receive the economic impact payment. Learn how at: https://t.co/MD0k67PsRf
1245759585627054081,2020-04-02 17:06:44,The majority of people do not need to take any action to get the economic impact payment. #IRS will calculate and automatically send it to those eligible. More at https://t.co/MD0k67PsRf
1245469376121319424,2020-04-01 21:53:33,"Thank you to all the House and Capitol employees for working  so hard to keep the Capitol open, especially during this health crisis. We hope you and your family stay safe and healthy. https://t.co/fuEIjqGHA8"
