id,created_at,text
1247339310036193280,2020-04-07 01:44:00,"Tonight Georgia mourns the loss of one of its finest public servants, Senator Jack Hill. The definition of a statesman, Jack always operated with a strong sense of integrity. 

Bonnie and I send heartfelt prayers and condolences to the Hill family on this devastating loss. https://t.co/b9VSDSOmBk"
1247279640072388608,2020-04-06 21:46:54,Small business owners – these webinars are a great way to learn about resources made available through the #CARESAct. https://t.co/E0L2RtrEmv
1247276978513854471,2020-04-06 21:36:19,RT @realDonaldTrump: https://t.co/GIzwKSbuuS
1247273661511479298,2020-04-06 21:23:08,"RT @GeorgiaTech: Georgia Tech's campus is hosting a no-cost, drive-in, rapid testing location for COVID-19 in partnership with federal and…"
1247272884231442432,2020-04-06 21:20:03,"What are the qualifications for #PaycheckProtectionProgram?

Are Social Security recipients eligible for #COVID19 relief checks?

How will IRS know where to send my payment?

These questions and more are answered here → https://t.co/1HZBjBixz1 #gapol"
1246763522643636224,2020-04-05 11:36:02,RT @StateDept: U.S. Citizen Travelers: Please enroll in https://t.co/LUiIr82ilp to receive alerts and ensure you can be located in an emerg…
1246602313466294272,2020-04-05 00:55:26,"This video from @JobCreatorsUSA does a good job explaining the ins and outs of the #PaycheckProtectionProgram, which offers forgivable loans to help small businesses maintain their payroll. 

https://t.co/sKsPSWVrub #smallbiz https://t.co/XJiFF9wEk3"
1246598694687977472,2020-04-05 00:41:04,Thanks to @JobCreatorsUSA for helping spread the word about the #PaycheckProtectionProgram. Small businesses needing assistance can learn more here: https://t.co/KDmrd6kbK2 https://t.co/tHRarLhW4J
1246537728851873792,2020-04-04 20:38:48,"RT @CDCgov: To slow the spread of #COVID19, stay at home except to get groceries, medications, or other essentials. Avoid outings you don’t…"
1246529376801472516,2020-04-04 20:05:37,"Many churches are moving their services online during the #COVID19 crisis. I’ll be watching @rockspringslive Pastor Benny Tate’s message online tomorrow. You can watch here at 8:00, 9:30 or 11:00 AM: https://t.co/YzBw2COld5"
1246525033805164552,2020-04-04 19:48:22,RT @Forbes: Home Depot announced today it is donating all N95 masks to hospitals and healthcare providers https://t.co/o4R5LqZIeL https://t…
1246523322726301698,2020-04-04 19:41:34,"#SmallBiz relief is available TODAY!

Small businesses are the backbone of our economy, and it’s critical that they have enough liquidity to keep workers employed and make it through this crisis. 

Learn more: https://t.co/zfpSkPXf9Y https://t.co/su0Cg6mBgm"
1246521829415694341,2020-04-04 19:35:38,RT @GovKemp: Here are some commonly asked questions about the statewide shelter in place order. #COVID19 #gapol https://t.co/SH8Tt5tFy1
1246137390403551234,2020-04-03 18:08:00,"The #PaycheckProtectionProgram is designed to help keep employees employed. It's as simple as that.

Learn more here: https://t.co/52qelsNgdX https://t.co/Dqxq2D4Z7V"
1246133489331843075,2020-04-03 17:52:30,"Starting today, small businesses can apply for assistance through the #PaycheckProtectionProgram.
 
Find an approved lender → https://t.co/Jb0oBakvz5

Apply for assistance → https://t.co/Y0uMSdtYHg

Program overview → https://t.co/FpXQ5tMRXv https://t.co/zF13dZEeld"
1245825031764094976,2020-04-02 21:26:48,"RT @GaDPH: When it comes to preventing the spread of #COVID19, it's crucial to only buy what your family needs; no more than a two-week sup…"
1245822089602482179,2020-04-02 21:15:07,Thanks to Crawford &amp; Breazeale Drug Co. in Lincolnton for producing hand sanitizer for local hospitals! Great to see Georgians serving their communities. https://t.co/G4gW2FnECM
1245816336137310208,2020-04-02 20:52:15,"NEW: @SBAgov just launched a tool to help small businesses find approved lenders for Paycheck Protection Program loans. 

Enter your zip code here to find an approved lender: https://t.co/Jb0oBakvz5"
