id,created_at,text
1247321713785921538,2020-04-07 00:34:05,"Rural communities in #Ohio need our help during this #coronarvirus pandemic. 

The #CARES Act helps in important ways, including providing direct financial aid to families and wide-ranging support for rural businesses. https://t.co/fQYy9uylvA"
1247302771575054336,2020-04-06 23:18:49,"Are you a Veteran in #Ohio needing to file a VA claim/appeal?

Good news: @SecWilkie recently approved an extension for filings of claims &amp; appeals for veterans’ compensation benefits.

No vet should have to worry about losing their benefits because of the #coronavirus pandemic."
1247293064978272256,2020-04-06 22:40:14,"I’ve been in touch with Gov. DeWine’s office &amp; the Bureau of Prisons about the #coronavirus outbreak at the federal prison in Elkton, #Ohio. 

The governor &amp; I agree that BOP should stop sending prisoners to this facility for now, and I’m pleased they have agreed."
1247283489722044416,2020-04-06 22:02:12,"This morning I spoke w/ my good friend @HughHewitt about the fed response to the #coronavirus.

We touched on a number of recent developments, including the #CARES Act &amp; @USTradeRep’s new tariff relief aimed at increasing the distribution of hand sanitizer.https://t.co/waQj8Ckkw1"
1247248916602650625,2020-04-06 19:44:49,"We all have a critical role to play in slowing the spread of the #coronavirus. 
- Wash your hands often 
- Practice social distancing
- Cover your coughs and sneezes 
- Avoid touching your face 
https://t.co/daKqnTBCGy"
1247235544775569408,2020-04-06 18:51:41,"To the doctors, nurses, health professionals, first responders, truck &amp; delivery drivers, grocery store workers, and other heroes stepping up to keep us safe and help us get through this tough time - Thank you and God bless you! https://t.co/AINxRuJ6HT"
1247186249074593800,2020-04-06 15:35:48,"#Ohio small businesses: Apply now for loans under the CARES Act’s Paycheck Protection Program to help keep the lights on and employees on the payroll.

You can find more information and apply here: https://t.co/WvWRkStewK
https://t.co/VgO144UEFJ"
1247181263515025408,2020-04-06 15:15:59,"Good news: @USTradeRep granted tariff relief for components used in the distribution of hand sanitizer.

This will enable Ohio-based Gojo to ramp up distribution of Purell hand sanitizer to meet the growing demand due to the ongoing #coronavirus crisis. https://t.co/iwynhbLo1q"
1246953964001689605,2020-04-06 00:12:46,"Ramping up diagnostic testing is the key to containing and stopping the spread of the #coronavirus.

Here's a quick explainer on why it’s so important and some of what we are doing to help expand testing capacity here in #Ohio. https://t.co/BVz6AtwGTJ"
1246931590409789440,2020-04-05 22:43:52,"UC health’s new cobas 6800 machine can complete 1000+ #coronavirus diagnostic tests a day.

This will exponentially increase testing capacity in the SW Ohio region. https://t.co/vY2i6siynM"
1246897575388733446,2020-04-05 20:28:42,"Immensely grateful to the #Ohio’s National Guard for stepping up to help our communities during these tough times. #InThisTogetherOhio 
https://t.co/vzw1K1RlMA"
1246875760045981696,2020-04-05 19:02:01,"Despite the #coronavirus pandemic, the 2020 Census is taking place as scheduled. An accurate census is critical ensuring every American has access to the resources they need. 

You can complete your Census form by phone, mail or online at https://t.co/lsOf6QmCIC"
1246846941377564673,2020-04-05 17:07:30,"We are all inspired by the dedication of the doctors, nurses and other health care professionals on the frontlines of this pandemic.

The CARES Act provides unprecedented support and resources so they can continue saving lives. https://t.co/5M8EOKecXV"
1246828450641522690,2020-04-05 15:54:02,"Quick reminder that @DHSGov Acting Sec Wolf has pushed back the deadline to get a REAL ID for use on domestic air travel and more until October 1, 2021. More information here: https://t.co/dngXpgcsu5"
1246807224997089280,2020-04-05 14:29:41,"Ohioans, this is important → There are employers hiring now for thousands of essential #jobs. So if you are feeling healthy and looking for work, I encourage you to visit https://t.co/JeAeO65vPf and apply. #InThisTogetherOhio https://t.co/zH4FYAg1qk"
1246797553292783617,2020-04-05 13:51:15,"The @SBAgov just launched a new tool to help small businesses find approved lenders for Paycheck Protection Program loans. 

All you have to do is visit the SBA site and enter your zip code to find an approved lender: https://t.co/uiZ5mpNByu"
1246788163462406149,2020-04-05 13:13:57,"A huge THANK YOU to all the doctors, nurses, health professionals, first responders, truck drivers, grocery store workers and other heroes stepping up to keep us safe during this crisis. We are immensely grateful. https://t.co/jscXnMnjIG"
1246602759446638593,2020-04-05 00:57:13,"This week, I worked to help UC Health acquire a cobas 6800 - a state-of-the-art testing machine capable of performing 1000+ #coronavirus diagnostic tests a day. 

This will help dramatically increase testing capacity for SW #Ohio. https://t.co/4t37pDZg3r"
1246596649377464322,2020-04-05 00:32:56,"Small businesses can now apply for loans via the new #PaycheckProtectionProgram created by the CARES Act, which can help them keep their employees on payroll during this crisis. Learn more here: https://t.co/H9mPFKRmXD https://t.co/ZBQwyRyAIA"
1246569747942117376,2020-04-04 22:46:02,"Blood centers across the country have experienced a significant drop in donations due to #COVID19.

If you are healthy and able, please consider donating blood. Visit the @RedCross website to make an appointment: https://t.co/Z73jyOiMGy"
1246508528413609986,2020-04-04 18:42:46,"This is very cool: @Apple teamed up with the @WhiteHouse, @fema &amp; @CDCgov to develop a #coronavirus screening app. You can access the tool on their website or download the mobile app: https://t.co/C1WTEVYLX1"
1246503213089665024,2020-04-04 18:21:39,#Coronavirus has brought our society and our economy to a standstill. We need to focus on beating this virus so we can turn the page and restore the world’s greatest economy as quickly as possible. More in my @DCExaminer op-ed: https://t.co/ita2vOWXNm
1246482041975320580,2020-04-04 16:57:31,Spoke with @SharonCoolidge and @jwilliamscincy on the “That's So Cincinnati” podcast this week about what we are doing at the federal level to combat the #coronavirus and help folks across #Ohio. You can listen to the podcast here: https://t.co/1DSaoPMFcE
1246181716521345024,2020-04-03 21:04:08,"We are facing a nat'l shortage of masks, gowns &amp; other personal protective gear - which is essential to keeping our brave health care workers safe.

That's why I want to commend Ohio-based @cardinalhealth for donating 2.2million non-surgical isolation gowns to hotspots nationwide https://t.co/Pk8fQ3hAuz"
1246159046039781378,2020-04-03 19:34:03,"Here's a quick explainer on why increasing #Ohio’s #coronavirus diagnostic testing capacity is important and what I’m doing to help.

Ramping up diagnostic testing is the key to containing and stopping the spread of the virus. https://t.co/BpaJww3WjP"
1246153158432358402,2020-04-03 19:10:40,"Beating this virus &amp; ensuring folks have the support they need requires nothing less than an ‘all hands on deck’ response. 

I’m working w/ @realDonaldTrump, @GovMikeDewine, state &amp; community leaders &amp; private sector businesses to help. https://t.co/lXhsJXbFfA"
1246141575568261120,2020-04-03 18:24:38,"PLEASE SHARE - There’s no fee to apply for a #PaycheckProtectionProgram loan. 

Stay vigilant and watch out for fraudulent actors! https://t.co/syz2tPpzKl"
1246118573975756800,2020-04-03 16:53:14,"This collaboration between @GM and @Honda is welcome news for the Mahoning Valley, which is home to a highly skilled, world-class workforce.

We’re excited to get this new battery plant up and running, and for the #jobs it will bring to the region. #Ohio https://t.co/QpCUcolyPi"
1246113754963640321,2020-04-03 16:34:05,"The #coronavirus pandemic is taking a huge toll on small businesses. But the CARES Act is going to help. 
 
Specifically, the #PaycheckProtectionProgram and employee retention tax credit will help small businesses stay afloat and can help keep employees on payroll. https://t.co/121dLsspIi"
1246091481414320128,2020-04-03 15:05:35,"IMPORTANT: Starting today, small businesses can apply for the #PaycheckProtectionProgram, created by the CARES Act to provide funds to cover payroll &amp; keep folks employed. Learn more here: https://t.co/H9mPFKRmXD. https://t.co/TXiw0wEw28"
1245898000330825733,2020-04-03 02:16:45,"Although the #coronavirus pandemic is disrupting all facets of society, we’ve taken swift action to ensure veterans in Ohio will receive the support they need and deserve.
https://t.co/ewKNgjrUfB"
1245880508090892289,2020-04-03 01:07:15,"Great news: Today, UC Health received the #COVID19 testing machine that I helped them secure. It can conduct 1,000+ tests a day. This will dramatically increase #coronavirus diagnostic testing capacity in SW #Ohio!"
1245851204816519170,2020-04-02 23:10:48,"The CARES Act established the employee retention credit to help ensure businesses that are closed, partially closed or otherwise negatively impacted by the #coronavirus pandemic are able to keep employees on the payroll. Learn more: https://t.co/g5I1Ck1qfX https://t.co/820Z6ca9d0"
1245771338599534592,2020-04-02 17:53:27,"Important Update: Social Security recipients do not need to take any additional steps (like filing a tax return) in order to receive the cash assistance authorized in the CARES Act. 
https://t.co/iqBzSmWYpH"
1245767968245547018,2020-04-02 17:40:03,Social distancing saves lives. https://t.co/JrT36joLUH
1245744307996372993,2020-04-02 16:06:02,"Truly inspired by the dedication of #Ohio Dr. Mary Krebs, who used her laptop to remotely consult 130 patients over two days while ill and nursing a 101-degree fever.
 
God bless you, Dr. Krebs. https://t.co/URsk4c7Y62"
1245727260994408450,2020-04-02 14:58:18,"RT @cweiser: Coronavirus in Ohio: More Ohio political muscle-flexing, by @senrobportman for @uc_health https://t.co/WMpBEgJMi4 via @enquire…"
1245726031006306307,2020-04-02 14:53:24,Starting tomorrow (Friday 4/3) small businesses can begin applying for the new loan program created by the CARES Act which provides small businesses with eight weeks worth of funds to cover payroll and some mortgage/rent costs. Learn more here: https://t.co/H9mPFKRmXD
1245532383652319233,2020-04-02 02:03:55,"This is very promising - @AbbottNews has begun shipping their new #coronavirus test that delivers results in as little as 5 mins. 

My hats off to the team at Abbott. Excellent work! https://t.co/NkNNSeZezA"
1245501598895349761,2020-04-02 00:01:36,"Today, I joined the entire Ohio congressional delegation in urging the @USDA to quickly approve Ohio’s request to operate the Disaster Household Distribution Program - which will help feed hungry families in times of national crisis, like the #coronavirus pandemic."
1245496703270236160,2020-04-01 23:42:08,I’m working with Treasury and the IRS to ensure our seniors can get the relief they deserve from the CARES Act without having to complete a complicated tax filing process. We need to get this $ out to folks ASAP without any additional burden.
1245427071230316547,2020-04-01 19:05:27,"The CARES Act directs hundreds of billions of dollars to our national health care system to help it respond to the ongoing #coronavirus crisis. 

This will make a huge difference in our fight against this virus.
https://t.co/5M8EOKecXV"
1245415166801580032,2020-04-01 18:18:09,"Thank you President @realDonaldTrump for promptly approving Ohio’s major disaster declaration request. 

This will enable us to access billions in much-needed federal funds and resources to combat the #coronavirus pandemic. https://t.co/6hWTWVKHTF"
1245409556525731841,2020-04-01 17:55:51,"The Senate must be able to carry out its constitutional duty in times of national crisis, like the ongoing #coronavirus pandemic. 
 
It's the 21st century. We have the technological capability to vote remotely. We should utilize it. https://t.co/vKgk9KEmcA"
1245368566423138309,2020-04-01 15:12:58,"Spoke w/ WCPO about helping UC health acquire a new machine which is capable of processing more than a thousand #COVID19 diagnostic tests a day. SW Ohio was in desperate need for more testing, and this vital machine will make a big difference. https://t.co/QrHmkyPWoR"
1245355409159991296,2020-04-01 14:20:41,"The #coronavirus pandemic has taken an especially tough toll on small businesses and mom &amp; pop shops.

That's why the CARES Act includes unprecedented measures to provide relief to small businesses and help them keep their employees on the payroll.
https://t.co/LJjMt1MglL"
1245157037434167296,2020-04-01 01:12:26,"Every one of us has a critical role to play in slowing the spread of #coronavirus and saving lives. We are in this together &amp; we will beat this virus together. 
 
➡️ Wash your hands  
➡️ Practice social distancing
➡️ Stay at home if you feel sick https://t.co/dlsHb5kjEA"
1245123580918140930,2020-03-31 22:59:29,Great news: President @realDonaldTrump just approved Ohio's request for a major disaster declaration - enabling @FEMA to provide vital assistance to help Ohio business and families respond and recover from the #coronavirus crisis.
1245113364826726403,2020-03-31 22:18:53,"Once the #coronavirus pandemic is behind us we must take decisive action to restore and revive the American economy. 

But that can’t happen until we beat this virus. So our first priority must be to address this public health crisis. More in my interview w/ @TeamCavuto: https://t.co/Tkka8wR4LM"
1245089966553804802,2020-03-31 20:45:55,"RT @JosephTDeters: Checking in with my son, Dr. Joey Deters, who is helping lead COVID-19 ICU for Northwestern Hospital in Chicago, IL.

I…"
1245052679061200897,2020-03-31 18:17:45,"Just wrapped up a video call with small businesses in the Dayton area. 

Glad to have the opportunity to explain how the CARES Act will provide immediate support to help them stay afloat and keep their employees on the payroll during the ongoing #coronavirus crisis."
1245047006713851907,2020-03-31 17:55:12,"Hand sanitizer, like #Ohio based Purell, is critical to the public health response to #coronavirus.

We must do everything we can to maximize the supply.

That's why I'm working w/ @USTradeRep to ensure tariffs don’t get in the way of increased production. https://t.co/W7jDMeIgOB"
1245037304424644610,2020-03-31 17:16:39,"Joined the @scottsands show yesterday to discuss the unprecedented federal response to the #coronavirus pandemic.

Ohio is already receiving important funding &amp; resources to address the economic impact and provide for our health care professionals. https://t.co/eNhhReXHCJ"
1245016076414521345,2020-03-31 15:52:18,"NEW: The FDA just authorized a new test that can detect #coronavirus in as little as 2 minutes.
 
This is a huge development! https://t.co/f9IA3Gk1vF"
1245004411966980096,2020-03-31 15:05:57,"This is awesome - @Battelle &amp; #OSUWexMed just developed a new rapid #coronavirus diagnostic test that produces results in as few as five hours.

Well done, this is a huge development! https://t.co/51eTU1NohV"
1245000330036883457,2020-03-31 14:49:44,"I'm pleased to announce that cities across #Ohio just received tens of millions of dollars in HUD grants, made possible by the CARES Act, to help counter the impact of the #coronavirus pandemic. More info → https://t.co/SjaVoVWbnZ https://t.co/yGRLJw4bOb"
1244993534790373377,2020-03-31 14:22:44,"The CARES Act provides significant relief to Ohio small businesses &amp; non profits impacted by #COVID19 through the expanded @SBAgov 7(a) program.  Check out my website for some FAQs small businesses should review to learn more about this important program.
https://t.co/l5W2xFudFH"
1244942095305015298,2020-03-31 10:58:20,".@WhiteHouse #COVID19 DPA Policy Coordinator Peter Navarro has been helpful to OH. Working w him now on more tests in OH and protective gear, swab and ventilator production in #Ohio."
