id,created_at,text
1247321709415469060,2020-04-07 00:34:04,"RT @WaysandMeansGOP: UPDATE: You have options for health insurance amidst the coronavirus pandemic. Here’s what you need to know.

https://…"
1247290640280555528,2020-04-06 22:30:36,"RT @Jim_Jordan: We’re all pulling for Prime Minister Boris Johnson. 

Our prayers are with him, his family, and all of the other families w…"
1247289088786550790,2020-04-06 22:24:26,"RT @HalRowWHKY: Dr. Virginia Foxx, U.S. Representative from the 5th District will join us, as well as a member of the Catawba Valley Astron…"
1247250129851240449,2020-04-06 19:49:38,"RT @CropAndSoil: Over 1,500 NC #farm families depend on income from #tobacco.  Growers are facing more uncertainties than ever this season.…"
1247241888031268866,2020-04-06 19:16:53,RT @GOPoversight: A big THANK YOU to all the hardworking American farmers who are rolling up their sleeves to keep this country fed as we p…
1247163504483799041,2020-04-06 14:05:25,"In times of crisis, bad actors will always attempt to capitalize on fear and uncertainty. Thankfully, resources like the Coronavirus Rumor Control webpage by @FEMA set the record straight and offer insightful guidance to the public.

https://t.co/WYnSRg0Wzu"
1247158859858313217,2020-04-06 13:46:57,RT @SBAgov: 🔖 BOOKMARK THIS: Information about all of SBA's #COVID19 resources in one place. 👇
1247151230222303233,2020-04-06 13:16:38,"RT @ncdhhs: To the: 
🚑 Healthcare workers
🚨 Law enforcement officers
💊 Pharmacy staff
🏥 First responders
🚛 Truck drivers 
🚧 Highway workers…"
1247141174823006209,2020-04-06 12:36:41,"RT @USDOL: Learn how the #CARESAct expands unemployment insurance benefits:
• Benefits for workers not normally eligible for unemployment,…"
1246977616562749441,2020-04-06 01:46:46,"RT @RepRichHudson: Today we honor our Gold Star Spouses, though you are on my mind everyday. Special best wishes and gratitude to @FtBraggN…"
1246936318640377858,2020-04-05 23:02:39,RT @SBAgov: GET LOCAL HELP: These are challenging times for small businesses across the country but SBA's regional &amp; district offices and r…
1246812952403087360,2020-04-05 14:52:27,"Psalm 35:9

""And my soul shall be joyful in the Lord: it shall rejoice in his salvation.""

Happy #PalmSunday to all. May God bless you and keep you safe."
1246597474632044549,2020-04-05 00:36:13,"RT @WaysandMeansGOP: New FAQ up: Yes, churches are eligible for the Paycheck Protection Program. 

https://t.co/2Qduk44A2F

#CoronaVirus #S…"
1246513679614578688,2020-04-04 19:03:14,RT @SBAgov: #COVID19 UPDATE: New guidance clarifies eligibility of faith-based organizations to participate in the #PaycheckProtectionProgr…
1246171547083198466,2020-04-03 20:23:44,"RT @EdLaborGOP: #ICYMI: @NLRB finalized a rule that will expand employee free choice when it comes to union representation. 

Federal labor…"
1246118711569928192,2020-04-03 16:53:47,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246110653628264451,2020-04-03 16:21:46,"RT @EdLaborGOP: Today, small businesses throughout the nation can begin their applications for #PaycheckProtectionProgram loans.

This mean…"
1246052338391044096,2020-04-03 12:30:02,"RT @GOPLeader: The Paycheck Protection Program: Businesses with fewer than 500—including startups, sole-proprietors, and the self-employed—…"
1245848792772923397,2020-04-02 23:01:13,"RT @WaysandMeansGOP: Defeating the coronavirus is an all-hands-on-deck effort. From the federal government to city hall, every corner of ou…"
1245779665719111680,2020-04-02 18:26:32,"RT @SBAgov: Small businesses can get up to a $10,000 advance on an Economic Injury Disaster Loan even if your previous application was decl…"
1245738200737382407,2020-04-02 15:41:46,RT @ncdhhs: .@ncdhhs has partnered with the NC Child Care Resource and Referral to launch a hotline to help critical workers find child car…
1245711698708893696,2020-04-02 13:56:27,RT @stevenmnuchin1: .@SocialSecurity recipients don’t need to file a tax return to receive Economic Impact Payments. Recipients will receiv…
1245443259872264194,2020-04-01 20:09:47,RT @fema: ⚠ Please do not trust anyone who offers you financial help and then asks you for money or personal information. Federal and local…
1245431164728422401,2020-04-01 19:21:43,RT @RepDanBishop: 👏Thank you @NASCAR for using your vast resources &amp; facilities to produce essential #PPE to keep medical workers safe. Pri…
1245409915721711616,2020-04-01 17:57:17,"RT @ncdhhs: Don’t go overboard at the grocery store. Make sure you leave enough for others, especially for families that can’t afford to bu…"
1245409873245941761,2020-04-01 17:57:07,RT @USTreasury: Treasury and IRS release FAQs to help small and midsize businesses navigate paid sick and family leave tax credits. https:/…
1245395731550294017,2020-04-01 17:00:55,RT @stevenmnuchin1: I encourage small business to apply for Paycheck Protection Program so you can keep your employees paid! Program will b…
1245362574331457538,2020-04-01 14:49:10,Does Speaker Pelosi really believe that rolling back the SALT cap will help Americans during this unprecedented health crisis? Put down your misguided Christmas wish list and focus on the aid our country really needs! https://t.co/TMKdSvKnca
1245099231830032384,2020-03-31 21:22:44,"RT @SBAgov: BREAKING: With $349 billion in emergency #smallbusiness capital cleared, SBA and @USTreasury begin unprecedented public-private…"
1245069568164474881,2020-03-31 19:24:51,RT @SBAgov: STAY UPDATED: Subscribe to our e-newsletter and get updates on SBA programs and resources for small businesses impacted by #COV…
1245068478052290561,2020-03-31 19:20:32,"RT @CDCgov: Call, email, or text loved ones often, especially if they are older or have underlying medical conditions. They may be feeling…"
1245051575996997632,2020-03-31 18:13:22,"RT @RepKevinBrady: PELOSI - Coronovirus Economic Cure: Tax Breaks for Millionaires 

Maybe this will help them afford box seats at the Kenn…"
1245040603970310145,2020-03-31 17:29:46,"RT @SBAgov: #COVID19 UPDATE: Due to the #CARESAct, small businesses and non-profits can get up to a $10,000 advance on an Economic Injury D…"
1245021876054904832,2020-03-31 16:15:21,"RT @ncdhhs: Need info on #COVID19NC? Here are some resources.
💻 Info: https://t.co/95csLz3LXh 
☎️ For COVID-19 questions, dial 2-1-1 or 888…"
1245004751357521922,2020-03-31 15:07:18,"Thank you to these amazing men and women who support our members, staff, and constituents every single day. We’re so grateful for the work you continue to do! https://t.co/PaAUW2zy1e"
1244985378068664321,2020-03-31 13:50:19,"RT @SBAgov: 🚨SCAM ALERT!🚨 

There have been reports of scams about #COVID19 Economic Injury Disaster Loans. Reminder:
📅There's no immediate…"
1244984165491245057,2020-03-31 13:45:30,"RT @ncdhhs: If you feel sick with COVID-19 or think you might have it, here are some steps you can take:
• Stay home and call your doctor.…"
1244719089655992321,2020-03-30 20:12:11,"I've compiled an extensive list of resources on my website that detail the provisions that are included in the COVID-19 legislation passed by Congress. My website is regularly updated so that you can access the latest, available information. https://t.co/aQtvuKPO4j"
1244688778825957377,2020-03-30 18:11:44,Important update on the loan program for small businesses disrupted by COVID-19: https://t.co/rwz2WOYNyb
1244648369009631234,2020-03-30 15:31:10,"RT @ncdhhs: NC Public Health and Emergency Management officials will provide #COVID19NC updates at 2 p.m.

Watch the briefing live in Engli…"
1244646568092975104,2020-03-30 15:24:00,"Yesterday, I joined David Jackson of the Boone Area Chamber of Commerce via video call to talk about the CARES Act and the impact that COVID-19 has had on small businesses. 
https://t.co/PBtgCpnBqo"
1244636566858989569,2020-03-30 14:44:16,"RT @EdLaborGOP: On this #NationalDoctorsDay, we send our heartfelt gratitude to the doctors across the nation putting their own health and…"
1244629929540694016,2020-03-30 14:17:53,"A wonderful organization headquartered in Boone that is providing much-needed aid. Thank you for everything you continue to do! #InItTogether
 https://t.co/e1LIwfVYOl"
1244625488330579969,2020-03-30 14:00:15,ICYMI: Governor Cooper's Stay At Home order will go into effect at 5:00 PM TODAY. For more information 👇https://t.co/P1TtL8xVsO
1244404882876096513,2020-03-29 23:23:38,"RT @RepRichHudson: To our Vietnam #veterans, thank you for your service and welcome home. Many never heard those words enough upon return.…"
1243592319711891456,2020-03-27 17:34:48,"The eyes of the nation are affixed to Congress, and we have delivered. https://t.co/MdoCjp9ajh"
1243591490674339841,2020-03-27 17:31:30,"RT @WaysandMeansGOP: ✅PASSED
 
The #CARESAct just passed the House and is on its way to @realDonaldTrump's desk. Here's what it does:
 
💪He…"
1243537772108972036,2020-03-27 13:58:03,RT @RepRichHudson: A wonderful prayer this morning to open this historic session of Congress. https://t.co/c5SM2niNFp
1243319772630208513,2020-03-26 23:31:48,"RT @ncdhhs: Need info on how to file unemployment? 
Individuals can find more here https://t.co/jdRCII0ObA

Employers can find info here ht…"
1243268031897382915,2020-03-26 20:06:12,RT @GOPoversight: To all those heroes who bravely go into work every single day to protect the American people and fight this invisible ene…
1243254563869806594,2020-03-26 19:12:41,RT @EdLaborGOP: Thank you to @SecretarySonny and @USDA for granting states the necessary flexibility to allow parent pick-up of meals for c…
1243213021994012678,2020-03-26 16:27:36,"RT @USNationalGuard: . @NCNationalGuard Airmen prepare medical equipment for shipment to various supply centers throughout North Carolina,…"
1243208378047922183,2020-03-26 16:09:09,"Companies continue to step up and offer a helping hand during the #COVID19 crisis. In my district, @HanesBrands has shifted their t-shirt production to start making face masks. This is yet another example of American ingenuity and innovation that must be commended and celebrated!"
1243182229947285504,2020-03-26 14:25:15,"RT @JudiciaryGOP: There are plenty of free resources out there to keep your kids busy during the #COVIDー19 crisis. 

Check out @NASA's #STE…"
